"";"gateway_node_4001";"gateway_node_183";"gateway_node_3186";"gateway_node_5232";"gateway_node_2235";"gateway_node_3435";"gateway_node_1978";"gateway_node_2775";"gateway_node_2777";"gateway_node_2778";"gateway_node_4831";"gateway_node_3264";"gateway_node_3890";"gateway_node_5067";"gateway_node_3117";"gateway_node_1428";"gateway_node_1932";"gateway_node_3793";"gateway_node_1115";"gateway_node_1050";"gateway_node_1411"
"gateway_node_4001";1;0;0;1;1;0;1;0;0;1;1;0;0;0;0;0;1;0;0;0;1
"gateway_node_183";0;1;0;0;1;1;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0
"gateway_node_3186";0;0;1;1;1;1;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0
"gateway_node_5232";0;0;1;1;0;1;1;1;0;1;0;0;0;0;0;0;0;1;0;0;0
"gateway_node_2235";1;1;0;0;1;1;1;1;0;0;0;0;1;1;1;1;1;1;1;0;0
"gateway_node_3435";0;0;0;0;1;1;0;0;0;1;0;1;0;0;1;0;1;1;1;0;1
"gateway_node_1978";0;0;0;1;1;0;1;0;0;0;0;1;1;1;1;0;0;0;0;1;0
"gateway_node_2775";0;1;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;1
"gateway_node_2777";0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1
"gateway_node_2778";1;1;0;0;0;0;0;1;0;1;0;0;0;1;0;0;1;1;1;1;1
"gateway_node_4831";0;1;0;0;0;1;0;0;0;1;1;1;1;1;1;0;0;0;1;1;0
"gateway_node_3264";1;1;0;0;0;0;0;0;1;0;1;1;1;1;1;1;0;1;1;1;0
"gateway_node_3890";1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1
"gateway_node_5067";0;0;0;0;1;0;1;0;1;0;1;1;0;1;1;1;0;1;1;0;0
"gateway_node_3117";1;0;1;1;1;0;0;0;1;0;0;1;0;0;1;1;0;0;0;0;0
"gateway_node_1428";0;1;0;0;0;1;1;1;0;0;1;0;0;0;1;1;0;0;0;0;1
"gateway_node_1932";0;1;0;1;1;0;0;0;1;0;1;1;0;1;0;0;1;1;1;0;0
"gateway_node_3793";1;1;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;1;1;0
"gateway_node_1115";0;0;0;0;0;0;1;0;1;0;1;0;1;0;0;0;0;0;1;0;1
"gateway_node_1050";0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;1;1
"gateway_node_1411";1;0;0;0;0;1;0;0;0;1;1;0;1;0;0;0;0;0;0;1;1
