"";"gateway_node_4001";"gateway_node_183";"gateway_node_1686";"gateway_node_3186";"gateway_node_5232";"gateway_node_1789";"gateway_node_2235";"gateway_node_3435";"gateway_node_1978";"gateway_node_2423";"gateway_node_2777";"gateway_node_2778";"gateway_node_3264";"gateway_node_3890";"gateway_node_5067";"gateway_node_1428";"gateway_node_1932";"gateway_node_3793";"gateway_node_4258";"gateway_node_1050";"gateway_node_1411"
"gateway_node_4001";1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0
"gateway_node_183";0;1;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1
"gateway_node_1686";1;1;1;0;0;0;0;0;1;0;0;0;0;0;1;1;1;0;0;1;0
"gateway_node_3186";0;0;1;1;1;1;0;0;0;1;0;1;1;0;1;0;0;0;1;1;0
"gateway_node_5232";0;0;1;1;1;1;0;0;1;0;0;1;0;1;0;0;1;1;0;1;0
"gateway_node_1789";0;0;1;0;1;1;0;1;1;0;1;0;0;1;0;0;0;0;0;0;0
"gateway_node_2235";0;0;0;1;0;0;1;1;0;0;0;0;1;0;0;0;0;1;0;1;0
"gateway_node_3435";0;0;0;0;0;0;1;1;1;1;1;1;1;0;0;0;0;0;1;0;0
"gateway_node_1978";1;1;0;0;0;0;0;1;1;0;1;1;0;0;0;0;0;0;0;1;1
"gateway_node_2423";1;0;0;0;1;0;1;1;1;1;1;0;1;1;0;0;0;0;0;1;0
"gateway_node_2777";1;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;1;0;0;1
"gateway_node_2778";0;0;1;0;0;0;0;0;0;0;0;1;1;0;1;1;0;0;1;0;0
"gateway_node_3264";0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;1;1;1;0
"gateway_node_3890";1;0;1;0;0;0;0;1;1;0;1;0;0;1;0;0;1;0;0;0;0
"gateway_node_5067";0;1;0;0;1;1;0;0;1;0;1;1;0;0;1;0;0;0;0;1;0
"gateway_node_1428";0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;1;1
"gateway_node_1932";0;1;1;0;0;0;1;0;0;1;0;1;0;0;1;1;1;0;0;0;0
"gateway_node_3793";1;0;1;1;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;1
"gateway_node_4258";1;1;0;0;1;0;1;0;1;1;0;0;0;0;1;1;1;0;1;0;0
"gateway_node_1050";1;0;1;1;0;1;0;1;1;0;0;0;1;0;0;0;0;1;1;1;1
"gateway_node_1411";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1
