"";"gateway_node_3147";"gateway_node_4988";"gateway_node_5232";"gateway_node_3499";"gateway_node_5145";"gateway_node_3435";"gateway_node_3185";"gateway_node_2079";"gateway_node_4574";"gateway_node_4598";"gateway_node_2718";"gateway_node_3455";"gateway_node_563";"gateway_node_22";"gateway_node_2592";"gateway_node_3613";"gateway_node_3740";"gateway_node_2031";"gateway_node_3673";"gateway_node_4335";"gateway_node_282";"gateway_node_3890";"gateway_node_5063";"gateway_node_1125";"gateway_node_1571";"gateway_node_2769";"gateway_node_4315"
"gateway_node_3147";1;1;0;1;0;0;1;1;0;0;0;1;1;0;0;0;1;0;1;0;1;0;0;0;0;1;0
"gateway_node_4988";1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"gateway_node_5232";0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;1;0;0;1;0;0;1;0
"gateway_node_3499";0;1;1;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0
"gateway_node_5145";0;0;1;0;1;1;1;0;1;0;0;1;0;1;1;0;1;0;0;0;0;1;0;0;0;1;0
"gateway_node_3435";0;0;1;0;0;1;1;1;0;1;0;0;0;0;0;0;1;1;1;0;1;0;0;0;0;0;0
"gateway_node_3185";0;0;1;0;0;0;1;0;1;1;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0
"gateway_node_2079";0;1;1;0;0;0;0;1;0;1;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0
"gateway_node_4574";0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0
"gateway_node_4598";0;0;0;0;0;0;0;1;0;1;1;1;0;0;1;1;1;0;0;0;0;1;0;0;0;0;0
"gateway_node_2718";0;0;0;1;0;0;0;0;0;0;1;1;1;0;0;1;0;0;1;1;0;0;1;0;0;0;0
"gateway_node_3455";0;1;0;0;0;0;1;0;0;1;0;1;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0
"gateway_node_563";0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;1;0;1;0;0;1;1;0;1;1;0
"gateway_node_22";0;0;1;0;0;1;1;1;0;1;0;0;0;1;0;0;0;0;1;1;1;1;1;1;0;0;0
"gateway_node_2592";1;0;0;1;1;0;1;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0
"gateway_node_3613";0;0;1;1;0;0;1;0;0;1;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0
"gateway_node_3740";0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;1;1;0;0;1
"gateway_node_2031";0;1;0;0;1;1;0;1;0;0;0;0;1;0;0;0;1;1;0;0;1;0;1;1;0;0;0
"gateway_node_3673";1;0;0;0;0;0;0;0;0;1;1;0;1;0;0;1;0;0;1;1;0;0;0;0;0;0;0
"gateway_node_4335";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;1;0;1;0;0;0;0;1
"gateway_node_282";0;0;0;0;0;0;1;0;1;1;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
"gateway_node_3890";1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;1;1;0;0;0;0;1
"gateway_node_5063";1;0;0;1;1;0;1;0;1;0;0;0;1;1;0;1;1;0;0;1;0;0;1;0;1;0;1
"gateway_node_1125";0;0;0;0;0;1;0;0;0;1;1;1;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0
"gateway_node_1571";1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;1;0;1;0;0
"gateway_node_2769";0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0
"gateway_node_4315";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1
