"";"WOL_node_3919";"WOL_node_9770";"WOL_node_12625";"WOL_node_11106";"WOL_node_11254";"WOL_node_1178";"WOL_node_7836";"WOL_node_3891";"WOL_node_10445";"WOL_node_11433";"WOL_node_10124";"WOL_node_9264";"WOL_node_5665";"WOL_node_1182";"WOL_node_11564";"WOL_node_7874";"WOL_node_6651";"WOL_node_3869";"WOL_node_3315";"WOL_node_8051";"WOL_node_9420";"WOL_node_7419";"WOL_node_8009";"WOL_node_6652";"WOL_node_11565";"WOL_node_7530";"WOL_node_2403";"WOL_node_7529"
"WOL_node_3919";1;0;0;0;0;0;0;0;0;1;1;0;0;0;1;1;1;1;0;0;0;1;0;1;0;1;0;0
"WOL_node_9770";0;1;0;0;1;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;1
"WOL_node_12625";1;0;1;1;1;0;1;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0
"WOL_node_11106";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;1;0;1;1;0
"WOL_node_11254";0;0;0;1;1;1;0;0;1;0;0;1;1;0;0;0;0;0;1;1;0;0;0;0;1;1;0;1
"WOL_node_1178";0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;1;0;1;1
"WOL_node_7836";0;0;1;0;0;0;1;1;0;1;0;0;1;1;0;0;0;0;0;0;0;1;0;0;1;1;0;0
"WOL_node_3891";0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"WOL_node_10445";0;0;0;0;1;1;1;1;1;1;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;1;1;0
"WOL_node_11433";1;1;1;0;1;0;0;0;1;1;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0
"WOL_node_10124";0;0;0;1;0;0;0;1;1;0;1;0;0;1;0;1;1;1;1;1;1;0;0;1;0;1;1;1
"WOL_node_9264";0;0;0;0;0;1;0;0;0;0;0;1;1;1;0;0;0;0;0;0;1;0;0;0;1;0;1;0
"WOL_node_5665";1;1;1;0;0;0;0;0;1;0;0;1;1;1;0;1;1;1;0;0;1;0;1;0;1;0;0;0
"WOL_node_1182";1;0;0;1;0;0;0;1;0;0;0;0;0;1;0;1;1;0;1;0;0;0;1;0;1;0;0;0
"WOL_node_11564";0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1
"WOL_node_7874";0;0;0;1;0;0;0;0;0;1;1;0;1;0;1;1;0;0;0;1;1;0;0;0;1;0;0;0
"WOL_node_6651";1;0;0;0;1;0;1;0;0;0;0;1;0;1;0;1;1;0;0;0;0;0;0;0;1;0;1;0
"WOL_node_3869";0;0;0;0;0;0;0;1;1;0;0;1;0;1;0;0;1;1;0;1;0;1;0;0;0;0;0;1
"WOL_node_3315";0;1;1;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0
"WOL_node_8051";1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;1;0;0;1;0;0;0;0
"WOL_node_9420";0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;1;1;0;1;0;0;0;1
"WOL_node_7419";0;1;0;0;0;0;0;0;1;0;1;1;1;0;0;0;1;0;0;0;0;1;0;0;1;0;0;1
"WOL_node_8009";0;0;0;0;1;0;1;0;0;0;1;0;1;1;0;0;0;0;1;1;0;1;1;1;0;0;1;0
"WOL_node_6652";0;0;0;0;0;0;1;1;0;1;0;0;0;0;1;0;0;0;1;0;0;0;1;1;0;0;0;1
"WOL_node_11565";1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;1;0;1;0;0;1
"WOL_node_7530";1;0;0;1;0;0;0;1;0;0;1;0;0;0;1;1;0;1;0;1;0;1;0;1;0;1;1;0
"WOL_node_2403";0;0;0;1;0;1;0;1;0;0;1;0;0;1;0;1;0;1;0;0;0;1;0;0;1;0;1;0
"WOL_node_7529";0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;1;0;0;1;1;0;1;0;1;1;0;0;1
