"";"mangal_node_0090";"mangal_node_0237";"mangal_node_0293";"mangal_node_0231";"mangal_node_0232";"mangal_node_0234";"mangal_node_0268";"mangal_node_0239";"mangal_node_0307";"mangal_node_0298";"mangal_node_0271";"mangal_node_0343";"mangal_node_0393";"mangal_node_0273";"mangal_node_0242";"mangal_node_0243";"mangal_node_0245";"mangal_node_0248";"mangal_node_0251";"mangal_node_0230";"mangal_node_0320"
"mangal_node_0090";1;0;0;1;0;1;0;1;0;0;1;1;1;0;0;1;0;1;0;0;0
"mangal_node_0237";0;1;0;0;0;0;0;1;0;0;0;1;1;1;0;1;0;1;0;1;0
"mangal_node_0293";0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1
"mangal_node_0231";0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0
"mangal_node_0232";0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0
"mangal_node_0234";0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0
"mangal_node_0268";0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0
"mangal_node_0239";1;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;1;0;0
"mangal_node_0307";1;1;0;0;0;0;1;0;1;0;0;1;0;0;1;0;0;1;0;0;0
"mangal_node_0298";0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;1;0;0;0
"mangal_node_0271";0;0;0;0;0;0;1;0;0;0;1;1;1;1;0;0;0;0;0;0;1
"mangal_node_0343";0;1;1;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
"mangal_node_0393";0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;1;0
"mangal_node_0273";0;0;0;0;1;1;0;1;0;0;1;0;0;1;0;0;0;0;1;0;1
"mangal_node_0242";0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0
"mangal_node_0243";0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;1;0
"mangal_node_0245";0;0;1;1;1;0;0;0;0;0;0;0;1;1;1;0;1;0;0;0;0
"mangal_node_0248";0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;1;0;1
"mangal_node_0251";0;0;1;1;0;0;0;0;1;0;0;0;0;0;1;0;0;1;1;0;0
"mangal_node_0230";0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0
"mangal_node_0320";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1
