"";"gateway_node_243";"gateway_node_535";"gateway_node_537";"gateway_node_742";"gateway_node_885";"gateway_node_963";"gateway_node_1158";"gateway_node_1416";"gateway_node_1568";"gateway_node_2172";"gateway_node_3593";"gateway_node_3946";"gateway_node_4540";"gateway_node_4551";"gateway_node_4784";"gateway_node_4914";"gateway_node_4917";"gateway_node_4373";"gateway_node_1200";"gateway_node_1878";"gateway_node_1739";"gateway_node_1742";"gateway_node_1743";"gateway_node_1746";"gateway_node_1747";"gateway_node_1879";"gateway_node_1928";"gateway_node_3789";"gateway_node_3906";"gateway_node_4764";"gateway_node_3435"
"gateway_node_243";1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;1;1;0;0;0;0;0
"gateway_node_535";0;1;1;0;0;0;1;0;1;0;1;0;0;0;0;0;1;0;0;0;1;1;1;1;0;1;1;1;0;1;0
"gateway_node_537";0;1;1;0;0;0;0;1;1;1;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;1;1;0;1;0;1
"gateway_node_742";1;0;0;1;0;0;1;0;1;0;1;1;0;0;1;1;0;0;0;0;0;0;1;1;0;0;1;0;0;1;0
"gateway_node_885";0;0;0;1;1;1;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;1;1;0;0;0;0;1;0;0;1
"gateway_node_963";0;0;1;1;0;1;0;0;1;1;0;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"gateway_node_1158";1;1;1;1;0;0;1;1;0;0;0;1;1;0;0;0;1;0;0;1;0;0;0;1;0;0;1;0;0;0;0
"gateway_node_1416";0;0;0;0;1;0;0;1;0;0;1;1;1;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;1;0;0
"gateway_node_1568";1;0;1;1;1;0;0;0;1;0;0;0;0;1;1;1;0;0;1;0;0;0;1;1;1;0;0;1;0;1;0
"gateway_node_2172";0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;1;1;0;1;0;0;0;1;0;1;0
"gateway_node_3593";0;1;0;0;0;1;0;1;1;0;1;1;1;0;1;0;1;0;1;0;0;0;1;0;0;1;0;0;0;0;1
"gateway_node_3946";0;0;0;1;0;0;0;0;0;1;0;1;1;1;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;1;1
"gateway_node_4540";0;0;1;1;1;0;1;0;0;1;0;0;1;0;0;0;0;1;0;1;1;1;0;0;1;0;0;1;1;1;1
"gateway_node_4551";0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;1;0;1;1;0;1;1;1;0;0;1
"gateway_node_4784";0;1;0;1;0;0;0;1;1;0;1;0;1;1;1;1;0;0;0;1;0;0;0;0;1;0;0;0;0;1;1
"gateway_node_4914";0;1;1;1;1;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;1;1;0;0;0;1;1;0;0;1;1
"gateway_node_4917";0;0;1;0;1;1;1;1;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;1;1;1
"gateway_node_4373";0;1;1;0;0;1;0;1;0;1;1;1;1;0;0;0;1;1;1;0;0;1;0;1;0;0;0;0;0;1;0
"gateway_node_1200";0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;1;1;1;0;0;0;0;1;0;1;1;0;1;0
"gateway_node_1878";0;0;0;1;0;0;0;0;0;0;0;1;1;0;1;0;1;0;1;1;1;0;1;0;0;1;0;0;0;1;0
"gateway_node_1739";0;0;1;1;0;1;1;0;0;0;1;0;1;0;0;0;0;1;0;0;1;1;0;0;1;0;0;0;0;1;0
"gateway_node_1742";0;0;0;1;0;0;1;0;1;0;0;0;0;0;1;0;1;0;0;1;0;1;0;0;0;0;1;0;0;0;0
"gateway_node_1743";1;1;0;1;1;1;1;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;1;0;1;1;0;1;1;0;0
"gateway_node_1746";0;0;0;1;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0
"gateway_node_1747";1;0;0;1;0;0;1;0;0;0;1;1;0;1;1;0;1;0;0;1;0;1;0;1;1;0;0;0;1;0;1
"gateway_node_1879";1;0;0;1;0;1;1;1;0;1;1;1;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;1;1
"gateway_node_1928";0;0;0;1;0;0;0;0;0;1;0;1;0;0;1;1;1;0;0;1;0;0;0;0;0;1;1;0;1;1;0
"gateway_node_3789";0;0;1;0;0;1;1;0;1;1;0;0;0;0;0;0;0;0;1;0;1;1;1;0;0;1;0;1;1;1;1
"gateway_node_3906";1;0;0;1;1;0;0;1;0;0;0;0;1;0;1;1;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0
"gateway_node_4764";1;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;1;0;0;0;0;1;1
"gateway_node_3435";0;0;1;0;1;1;1;1;0;0;1;0;1;1;0;1;0;0;0;1;1;1;0;0;0;0;0;0;0;1;1
