"";"gateway_node_4290";"gateway_node_2835";"gateway_node_4504";"gateway_node_1847";"gateway_node_823";"gateway_node_1326";"gateway_node_1328";"gateway_node_1381";"gateway_node_2493";"gateway_node_2496";"gateway_node_2491";"gateway_node_2314";"gateway_node_4964";"gateway_node_1141";"gateway_node_3962";"gateway_node_3992";"gateway_node_630";"gateway_node_2494";"gateway_node_1150";"gateway_node_5021";"gateway_node_3014";"gateway_node_1274";"gateway_node_1647";"gateway_node_4382";"gateway_node_3464";"gateway_node_4381";"gateway_node_4505";"gateway_node_596";"gateway_node_1845";"gateway_node_3475";"gateway_node_1233";"gateway_node_2909";"gateway_node_4641";"gateway_node_3951";"gateway_node_1445";"gateway_node_4595";"gateway_node_1004";"gateway_node_3247";"gateway_node_4623";"gateway_node_1011";"gateway_node_1430";"gateway_node_4429";"gateway_node_465";"gateway_node_439";"gateway_node_1560";"gateway_node_1225";"gateway_node_1226";"gateway_node_637";"gateway_node_296"
"gateway_node_4290";1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"gateway_node_2835";0;1;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"gateway_node_4504";0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0
"gateway_node_1847";1;0;0;1;0;0;0;0;0;1;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0
"gateway_node_823";0;1;0;0;1;0;1;0;1;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"gateway_node_1326";0;0;0;0;0;1;0;1;0;0;0;0;1;0;1;1;0;1;1;0;0;0;1;1;1;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"gateway_node_1328";0;0;1;0;0;1;1;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;1;0;1;0;0;0;0;0;1;0;0;0
"gateway_node_1381";0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0
"gateway_node_2493";0;0;1;0;1;0;0;1;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0
"gateway_node_2496";0;1;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0
