"";"gateway_node_2423";"gateway_node_477";"gateway_node_1471";"gateway_node_3646";"gateway_node_2079";"gateway_node_4001";"gateway_node_805";"gateway_node_5232";"gateway_node_1972";"gateway_node_2782";"gateway_node_3147";"gateway_node_3185";"gateway_node_3795";"gateway_node_807";"gateway_node_5041";"gateway_node_1151";"gateway_node_1017";"gateway_node_3499";"gateway_node_2718";"gateway_node_1190";"gateway_node_2588";"gateway_node_105";"gateway_node_106";"gateway_node_113";"gateway_node_3264";"gateway_node_3435";"gateway_node_3645";"gateway_node_3665";"gateway_node_463";"gateway_node_3673";"gateway_node_22";"gateway_node_2592";"gateway_node_2618";"gateway_node_3741";"gateway_node_2031";"gateway_node_4335";"gateway_node_3455";"gateway_node_563";"gateway_node_356";"gateway_node_4779";"gateway_node_4598";"gateway_node_257";"gateway_node_4662";"gateway_node_2795";"gateway_node_3916";"gateway_node_282";"gateway_node_3201";"gateway_node_131";"gateway_node_5040";"gateway_node_2939";"gateway_node_3379";"gateway_node_3890";"gateway_node_5063";"gateway_node_1104";"gateway_node_2568";"gateway_node_1125";"gateway_node_606";"gateway_node_1314";"gateway_node_4590";"gateway_node_456";"gateway_node_2769";"gateway_node_3850";"gateway_node_1571"
"gateway_node_2423";1;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0
"gateway_node_477";1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;1;0;1;0;0;0;0
"gateway_node_1471";0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;1;0;1;0;0;0;1;0;0;0;1;0;0;1
"gateway_node_3646";0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"gateway_node_2079";0;0;0;0;1;0;0;1;1;1;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;1;0;1;1;0;0;1;0;0;0;0;1;0;1;0;0;0
"gateway_node_4001";1;0;1;0;1;1;0;0;0;0;0;0;1;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0
"gateway_node_805";0;1;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1
"gateway_node_5232";0;0;0;1;0;1;0;1;0;1;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;1;0;1;1;0;0;0;1;0;0;1;0;0;1;0;0;0;1;0;0;1;0;0;1
"gateway_node_1972";0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;1;0;1;0;1;0;0;1;0;0;0
"gateway_node_2782";0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;1;0;0;1;1;0;0;1;0;1;0;1;1;0;0;0;0;0;0;1;0;0;1;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0;1;0;0;1;1;0;0
"gateway_node_3147";0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;1;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0
"gateway_node_3185";0;0;0;1;1;1;1;0;1;1;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0
"gateway_node_3795";1;1;1;0;0;0;0;0;0;0;1;0;1;0;1;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;1;1;0;0;0;0;0;1;0;1
"gateway_node_807";0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;1;0;1;0;0;1;1;1;0;1;0;1;0;1;0;1;0;0;0;1;0;0;0;1;0;0;0;0
"gateway_node_5041";0;0;0;1;0;0;0;0;0;0;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;1
"gateway_node_1151";0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;1;1;1;1;1;0;1;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0
"gateway_node_1017";1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;1;0
"gateway_node_3499";0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1
"gateway_node_2718";0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;1;1;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;1;1;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1
"gateway_node_1190";0;0;1;1;0;0;0;0;0;0;1;1;0;0;0;0;1;1;0;1;0;0;0;1;0;0;1;1;0;0;0;1;0;0;0;1;0;0;1;1;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0
"gateway_node_2588";0;1;1;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;1;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1
"gateway_node_105";1;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;1;0;1;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0
"gateway_node_106";0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"gateway_node_113";0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;1;1;1;1;0;0;1;1;0;0;0;1;1;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;1;0;0;0;1;1
"gateway_node_3264";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;1;0;0;1;1;0;0;1;0;0;0;0;1;0;1;0;1;0;0;1;0;0;0;1;0;0;0;0;1;0;1;0;0;0;1;1;0;0;0;0;0;1
"gateway_node_3435";1;1;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0
"gateway_node_3645";1;0;0;1;1;0;1;0;0;0;0;0;1;0;1;1;1;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0
"gateway_node_3665";0;0;1;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;1;0;0;0;0;0;0;1;1;0;0;1;1;0;0;1;1;0;0;0;1;1;1;0;0;0;0;0;0;0;1;0;0;0
"gateway_node_463";0;0;0;0;0;0;1;1;0;0;1;0;1;1;0;1;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;1;0;1;1;0;0;1;0;0;1
"gateway_node_3673";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;1;1;0;1;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1
"gateway_node_22";0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;1;1;0;0;0;0;1;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0
"gateway_node_2592";0;0;0;1;0;1;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;1;0;0;1;0;0;1;0;0;0;1;0;0;0;1;0;1;0;1;0;0;0;1;0;1;0;1;0;0
"gateway_node_2618";0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;1;1;0;1
"gateway_node_3741";1;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;1;1;0;0;1;1;1;1;1;1;0
"gateway_node_2031";0;0;0;1;1;0;0;0;0;0;1;0;0;1;0;0;0;1;1;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;1;1;0;0;0;0;1;0
"gateway_node_4335";0;0;1;1;1;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;1;1;0;1;0;0;1;1;0;0;0;0;1;0;0;1;0;1;0;0;1;0;0;0;0;1;0;1;0;0;1
"gateway_node_3455";1;0;0;0;0;1;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;1;0;0;1;0;0;1;1;0;0;1;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0
"gateway_node_563";0;1;0;0;1;0;1;0;1;1;0;1;1;0;1;0;1;0;1;0;0;1;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;1;0;1;0;1;0;0;1;0;0;0;0;0;1;0;0;1;1;0;0;0;1;0;0;1;0
"gateway_node_356";0;1;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;1;1;0;0;0;1;1;1;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0
"gateway_node_4779";0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;1;0;1;0;0;0;1;0;0;0;1;0;0;1;1;0;1;0;0;1;1;0;1;0;0;1;1;0;1;0;0;0;1;0
"gateway_node_4598";1;1;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;1;0;0;0;1;1;1;0;1;1;1;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0
"gateway_node_257";0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"gateway_node_4662";1;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;1;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"gateway_node_2795";1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;1;0;1;0;0;0;1;0;0;1;0;1;0;0;0;0;0;1;0;0;1;1;0;1;1;1;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;1
"gateway_node_3916";0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
"gateway_node_282";0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;1;0;0;0;1;1;1;0;1;0;1;1;0
"gateway_node_3201";0;1;1;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0
"gateway_node_131";0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;1;1;0;0;1;1;1;0;1;0;0;0;1;1;0;0
"gateway_node_5040";1;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;1;0;0;0;0;0
"gateway_node_2939";0;1;1;1;1;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;1;0;0;1;0;1;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"gateway_node_3379";1;1;0;0;0;1;1;1;0;1;1;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0
"gateway_node_3890";0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;1;1;0;0;0;1;0;1;0;1;1;0;0;0;0;1;0;0;0;0;0
"gateway_node_5063";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;1;1;1;1;0;0;0;0;0;0;1;0;0;1;0;1;0;0;1;0;1;0;1;1;1;1;0;0;0;1;0;0;0;1
"gateway_node_1104";0;1;0;0;0;0;0;0;0;1;1;0;1;1;0;1;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;1;0;0;0;0;1;1;0;0;0;1;0;1;1;0;1
"gateway_node_2568";0;0;0;0;1;0;1;1;1;0;0;1;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;1;0;0;0;0;1;0;1;0;0;0;1;0;0;1;0
"gateway_node_1125";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;1;1;0;0;1
"gateway_node_606";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;1;0;1;0;0;0;0;1;0;1;0;0;0;1;0;1;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0
"gateway_node_1314";1;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0
"gateway_node_4590";0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;1;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;1;1;0;1;0;0
