"";"gateway_node_2409";"gateway_node_5070";"gateway_node_1847";"gateway_node_1000";"gateway_node_197";"gateway_node_1022";"gateway_node_2496";"gateway_node_2497";"gateway_node_2490";"gateway_node_4967";"gateway_node_4968";"gateway_node_1988";"gateway_node_3992";"gateway_node_4965";"gateway_node_630";"gateway_node_1139";"gateway_node_2494";"gateway_node_892";"gateway_node_4739";"gateway_node_1374";"gateway_node_3014";"gateway_node_3679";"gateway_node_3356";"gateway_node_596";"gateway_node_1845";"gateway_node_1234";"gateway_node_465";"gateway_node_3341";"gateway_node_3777";"gateway_node_3778"
"gateway_node_2409";1;1;0;1;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"gateway_node_5070";0;1;1;0;0;0;0;1;1;0;0;0;0;0;0;1;1;1;1;0;0;1;0;1;0;1;0;0;1;0
"gateway_node_1847";0;1;1;1;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;1;1;0;1;0;0;0
"gateway_node_1000";0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0
"gateway_node_197";0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;1;0
"gateway_node_1022";1;0;0;0;0;1;0;1;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0
"gateway_node_2496";0;0;0;0;1;0;1;1;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0
"gateway_node_2497";0;0;0;1;0;0;1;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;1
"gateway_node_2490";0;0;1;0;0;0;0;0;1;1;0;1;1;1;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;1
"gateway_node_4967";0;0;0;1;0;0;1;0;1;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;1
"gateway_node_4968";1;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0
"gateway_node_1988";0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0
"gateway_node_3992";0;0;0;0;0;1;1;1;1;0;1;0;1;0;1;0;1;0;1;0;0;0;1;0;1;0;0;0;0;1
"gateway_node_4965";0;0;0;1;0;0;0;0;0;0;0;1;0;1;1;0;0;1;0;1;1;0;0;1;0;0;0;0;0;1
"gateway_node_630";1;1;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"gateway_node_1139";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0
"gateway_node_2494";0;0;0;0;0;1;1;0;1;1;1;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;1;0;0;0
"gateway_node_892";0;1;0;1;0;0;0;0;1;1;0;1;1;0;1;0;0;1;1;0;1;0;0;1;0;0;0;1;0;1
"gateway_node_4739";0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;1
"gateway_node_1374";1;0;0;0;1;0;1;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;1;1;0;1;0;0;0
"gateway_node_3014";0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;1;0
"gateway_node_3679";0;0;0;0;0;1;0;0;0;0;1;1;1;0;1;0;0;1;0;0;0;1;0;0;1;0;0;1;0;1
"gateway_node_3356";0;0;1;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1
"gateway_node_596";0;1;1;1;0;0;0;0;1;0;0;1;1;0;0;1;1;0;1;0;0;1;0;1;0;0;0;0;0;0
"gateway_node_1845";0;0;1;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0
"gateway_node_1234";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;1;0
"gateway_node_465";0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;1;1;0;1;0
"gateway_node_3341";0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;1;0;1;0;1;0;1;0;0;1;1;0
"gateway_node_3777";0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"gateway_node_3778";1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;1
