"";"gateway_node_5232";"gateway_node_4804";"gateway_node_1258";"gateway_node_4001";"gateway_node_4777";"gateway_node_1972";"gateway_node_473";"gateway_node_3663";"gateway_node_1730";"gateway_node_4808";"gateway_node_574";"gateway_node_4779";"gateway_node_2411";"gateway_node_895";"gateway_node_355";"gateway_node_1056";"gateway_node_3643";"gateway_node_3890";"gateway_node_667";"gateway_node_670";"gateway_node_827";"gateway_node_826";"gateway_node_829";"gateway_node_5063";"gateway_node_2784";"gateway_node_3629";"gateway_node_1434";"gateway_node_4588";"gateway_node_1156";"gateway_node_2769";"gateway_node_2384";"gateway_node_2117";"gateway_node_920"
"gateway_node_5232";1;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;1;0;0;1;0;0;1;1;0;1;0;0;0;1;1;1;1
"gateway_node_4804";1;1;0;1;1;0;1;0;1;1;1;1;1;1;0;0;0;0;0;1;0;0;0;0;1;1;1;0;0;1;1;0;1
"gateway_node_1258";1;1;1;0;1;0;0;0;1;0;1;1;1;0;0;0;1;1;0;0;0;0;0;1;0;0;0;1;1;1;0;0;0
"gateway_node_4001";1;0;0;1;1;0;1;0;0;0;0;0;0;0;1;0;0;1;1;1;1;0;0;1;1;1;1;0;1;0;1;1;1
"gateway_node_4777";1;0;1;0;1;0;0;0;0;0;1;1;0;0;1;1;0;0;0;0;0;1;0;0;1;0;1;0;1;1;0;1;1
"gateway_node_1972";0;0;0;1;1;1;0;1;1;0;0;1;1;1;0;0;0;0;0;1;0;0;0;1;1;0;1;0;1;0;0;0;0
"gateway_node_473";0;0;0;1;1;1;1;1;0;1;0;0;1;1;0;0;0;0;0;1;1;0;0;0;0;0;1;0;1;1;1;1;0
"gateway_node_3663";0;1;0;1;1;0;0;1;0;0;0;1;1;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;1;1
"gateway_node_1730";1;1;1;1;0;1;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;1;1;0;1;1;0;0;1;1;1;1
"gateway_node_4808";0;0;1;0;1;0;0;1;1;1;1;0;1;1;0;0;1;0;0;1;0;0;0;1;0;0;1;1;1;1;1;0;0
"gateway_node_574";1;0;1;0;0;1;1;0;0;1;1;0;0;1;0;0;1;1;1;0;0;0;0;0;0;1;1;0;0;1;0;0;1
"gateway_node_4779";1;0;1;1;0;0;0;0;1;1;0;1;0;0;1;0;1;1;0;0;0;0;0;1;0;0;1;0;0;0;0;1;1
"gateway_node_2411";0;0;1;0;1;0;0;1;1;0;0;1;1;0;1;0;0;0;1;0;1;1;1;1;1;1;1;0;0;0;0;1;0
"gateway_node_895";0;0;1;0;0;1;1;1;0;0;0;0;0;1;0;1;0;0;1;1;0;0;0;0;1;0;1;1;1;0;1;1;1
"gateway_node_355";1;1;0;1;0;1;0;0;1;0;1;1;1;1;1;1;1;0;1;1;0;1;0;0;1;1;1;1;1;1;0;1;0
"gateway_node_1056";0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;1;1;0;1;0;0;1;1;0;0;1
"gateway_node_3643";0;1;0;0;0;1;0;0;0;0;0;1;0;1;0;0;1;1;0;1;0;1;0;0;1;0;1;1;0;1;0;0;1
"gateway_node_3890";0;0;0;1;0;1;1;0;0;0;1;1;1;1;1;0;1;1;0;0;0;0;1;1;0;0;0;0;0;0;1;0;1
"gateway_node_667";0;0;0;1;0;1;1;0;0;0;1;0;0;0;0;1;1;1;1;0;1;0;1;1;1;0;1;0;1;1;0;0;0
"gateway_node_670";0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;1;0;1;0;1;1;1;1;0;0;0;0;0;0;1;1;0;0
"gateway_node_827";1;0;1;0;0;1;0;0;1;1;0;1;0;0;1;0;1;1;0;1;1;0;0;0;0;0;1;1;0;1;0;0;0
"gateway_node_826";0;0;1;0;0;0;1;0;1;0;0;0;1;0;0;0;0;1;1;1;0;1;0;0;0;1;0;0;0;1;0;0;1
"gateway_node_829";0;0;1;0;1;0;1;1;1;1;1;1;1;0;0;1;0;0;0;0;1;0;1;0;0;1;0;1;0;1;1;1;0
"gateway_node_5063";0;0;0;1;1;0;1;0;1;0;1;1;0;1;1;1;1;1;1;0;1;1;0;1;0;1;0;1;1;1;0;0;0
"gateway_node_2784";1;1;0;0;0;1;0;0;0;1;1;0;0;0;0;1;0;0;1;0;1;0;0;0;1;1;1;0;0;0;0;0;0
"gateway_node_3629";1;0;1;1;0;0;1;0;0;0;0;1;1;0;0;0;0;1;1;0;1;0;1;1;0;1;0;1;0;0;0;0;0
"gateway_node_1434";1;0;0;1;1;0;1;0;0;1;1;0;0;1;0;0;0;1;0;0;1;0;0;1;1;0;1;0;0;0;0;1;1
"gateway_node_4588";0;0;0;0;1;0;0;1;0;0;1;0;0;1;1;0;0;0;1;0;0;0;1;0;0;0;0;1;1;0;1;1;0
"gateway_node_1156";0;0;0;0;1;1;1;0;0;0;0;0;1;1;0;0;1;0;0;0;1;0;0;0;0;0;1;0;1;1;1;0;1
"gateway_node_2769";0;0;0;0;1;1;1;0;0;1;0;0;1;0;1;0;1;0;0;0;0;0;0;1;1;1;0;1;0;1;0;1;1
"gateway_node_2384";0;1;1;0;1;1;1;0;1;1;1;1;0;1;0;1;0;0;1;0;0;0;0;0;1;0;0;1;1;0;1;1;1
"gateway_node_2117";0;0;1;0;1;1;1;0;1;0;1;0;1;0;0;0;0;0;0;1;1;0;1;1;0;0;0;1;0;1;0;1;0
"gateway_node_920";0;1;0;0;1;0;1;1;0;1;0;0;0;1;1;0;1;0;0;1;1;0;1;1;1;0;0;1;1;0;0;0;1
