"";"mangal_node_0259";"mangal_node_0261";"mangal_node_0090";"mangal_node_0406";"mangal_node_0293";"mangal_node_0263";"mangal_node_0264";"mangal_node_0295";"mangal_node_0232";"mangal_node_0266";"mangal_node_0234";"mangal_node_0236";"mangal_node_0297";"mangal_node_0268";"mangal_node_0239";"mangal_node_0298";"mangal_node_0331";"mangal_node_0271";"mangal_node_0272";"mangal_node_0312";"mangal_node_0407";"mangal_node_0299";"mangal_node_0332";"mangal_node_0273";"mangal_node_0242";"mangal_node_0243";"mangal_node_0245";"mangal_node_0278";"mangal_node_0287";"mangal_node_0251";"mangal_node_0320";"mangal_node_0254";"mangal_node_0252";"mangal_node_0305"
"mangal_node_0259";1;0;0;0;0;0;1;1;0;0;0;0;1;0;0;1;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0
"mangal_node_0261";0;1;0;1;0;1;0;0;0;1;0;0;0;1;0;0;0;1;0;0;1;0;1;0;0;0;1;0;0;1;0;0;1;0
"mangal_node_0090";0;0;1;0;1;0;1;0;0;0;0;1;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0
"mangal_node_0406";0;0;0;1;0;0;1;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0
"mangal_node_0293";0;1;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;1;1;1;1;0;0;0;1;0;1;0;0;0;1;0;0
"mangal_node_0263";1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;1;0;1;0;0;1;1;0;0;0;0
"mangal_node_0264";0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;1;1;1;0;0;1;0;0;0;0;0;0;0;0
"mangal_node_0295";0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0
"mangal_node_0232";0;1;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;1;1;0;0;1;0;0;1;0;0;0;1;0;0
"mangal_node_0266";0;1;0;0;0;0;0;1;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0
"mangal_node_0234";0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;1;1;0;1
"mangal_node_0236";0;0;0;0;1;0;1;0;0;0;1;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0
"mangal_node_0297";1;0;0;0;0;0;0;0;1;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0
"mangal_node_0268";0;0;0;0;0;1;0;1;0;0;0;0;1;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
"mangal_node_0239";1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;1
"mangal_node_0298";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"mangal_node_0331";0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0
"mangal_node_0271";0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1
"mangal_node_0272";0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;1;0;1;0;0;0;1;0;0
"mangal_node_0312";1;1;1;0;0;0;1;0;0;1;0;0;0;0;0;0;1;1;1;1;0;0;1;1;0;0;0;0;0;1;0;0;0;0
"mangal_node_0407";0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;1;1;0;0;0;0
"mangal_node_0299";1;0;0;1;0;1;1;1;1;0;0;1;0;1;1;1;0;0;1;1;0;1;0;0;0;1;1;0;1;0;0;0;0;0
"mangal_node_0332";0;0;0;0;0;1;0;1;0;0;0;1;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;1;1;0;0;0;1
"mangal_node_0273";0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;1;0;0;0;0;0;0;1;1;0;0;1;0;0;1;1;0;1
"mangal_node_0242";0;0;0;1;0;1;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;1;0;0;0
"mangal_node_0243";0;0;0;0;0;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;1
