"";"gateway_node_5232";"gateway_node_1033";"gateway_node_4804";"gateway_node_3158";"gateway_node_643";"gateway_node_4528";"gateway_node_1717";"gateway_node_4001";"gateway_node_4361";"gateway_node_3817";"gateway_node_3574";"gateway_node_1972";"gateway_node_13";"gateway_node_1858";"gateway_node_4694";"gateway_node_355";"gateway_node_3497";"gateway_node_4779";"gateway_node_2449";"gateway_node_249";"gateway_node_1056";"gateway_node_1730";"gateway_node_4808";"gateway_node_574";"gateway_node_3614";"gateway_node_2411";"gateway_node_2437";"gateway_node_1629";"gateway_node_895";"gateway_node_504";"gateway_node_3890";"gateway_node_667";"gateway_node_5120";"gateway_node_5063";"gateway_node_1434";"gateway_node_4592";"gateway_node_33";"gateway_node_1156";"gateway_node_248";"gateway_node_2384";"gateway_node_2113";"gateway_node_2117";"gateway_node_1240";"gateway_node_3957";"gateway_node_4554"
"gateway_node_5232";1;1;0;1;0;0;0;1;1;0;0;1;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"gateway_node_1033";0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;1;1;0;0
"gateway_node_4804";1;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;1;1;1;0;0;0;1;1;0;0;1;0;0;1;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0
"gateway_node_3158";0;1;0;1;0;1;1;1;0;0;0;1;1;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;1;0;1;0;1;0;0;0;0;1;0;0;0;0;1;0;1
"gateway_node_643";0;0;0;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;1;1
"gateway_node_4528";0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;1;0;0;0;0;0
"gateway_node_1717";1;0;0;0;1;0;1;1;1;0;0;1;1;1;0;0;0;0;0;0;0;1;1;0;1;1;0;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;0;0
"gateway_node_4001";0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;1;0;0;1;0;0;0;0;0;1;0;0;0;1;1;1;0;0;1;1;1;0;1;0;0;0;0;0;0;1
"gateway_node_4361";0;1;1;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;1;0
"gateway_node_3817";0;0;0;1;0;1;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;1;0;1;0;0
"gateway_node_3574";1;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;1;0;0;0;0;1;1;1;0;0;1
"gateway_node_1972";0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;1;1;0;1;0;0;0;0;0;1;1;0;0;1;0;0;0;1;0;1;0;1;1;1;0;0;0;0;0;1
"gateway_node_13";0;0;0;1;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;0;1;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;1;1;0;1;1;1
"gateway_node_1858";1;1;1;1;1;1;1;0;0;1;0;0;0;1;0;0;1;0;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;1;1
"gateway_node_4694";0;1;0;1;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;1;0;1;1;0;1;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0
"gateway_node_355";0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;1;1;0;1;1;1;0;0;1;0;0;0;1;1;1;1;0;1;1;1;0;0;1;0;0;1;1;0;0;0
"gateway_node_3497";1;1;0;0;1;0;1;0;0;1;0;0;1;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;1;0;0;1;0;0;0
"gateway_node_4779";0;0;0;1;1;0;1;0;0;0;0;0;0;0;1;1;1;1;0;0;1;1;0;0;0;0;1;0;1;0;0;0;0;0;1;0;1;0;0;1;0;1;0;0;0
"gateway_node_2449";0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;1;0;1;1;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;1;1;1;1;0;0;1;0;1;0
"gateway_node_249";0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;1;0;1;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;1;0;0
"gateway_node_1056";0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;1;0;0;1;0;0;0;0;1;1;1;0;1;0;1;0;0;0;0;0;0;1
"gateway_node_1730";1;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;1;0;0;0;0;1;0;1;0;0;0;1;0;1;0;0;0;1;1;0;1;0;0;0;1;0;0;0;1
"gateway_node_4808";0;1;0;0;0;1;0;1;1;0;1;1;0;0;0;1;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
