"";"mangal_node_6180";"mangal_node_6173";"mangal_node_6176";"mangal_node_6177";"mangal_node_6175";"mangal_node_6179";"mangal_node_6174";"mangal_node_3981";"mangal_node_0220";"mangal_node_4154";"mangal_node_3616";"mangal_node_6178";"mangal_node_0831";"mangal_node_0709";"mangal_node_6182";"mangal_node_6181";"mangal_node_6171";"mangal_node_0467";"mangal_node_6172";"mangal_node_0448"
"mangal_node_6180";1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1
"mangal_node_6173";0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"mangal_node_6176";1;0;1;0;0;0;0;0;1;0;1;1;0;1;0;0;0;1;0;0
"mangal_node_6177";0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0
"mangal_node_6175";0;0;0;0;1;0;0;0;1;1;1;0;0;0;0;0;0;1;1;1
"mangal_node_6179";1;0;1;0;0;1;1;0;0;0;0;1;0;0;1;0;0;0;0;0
"mangal_node_6174";0;0;0;0;0;0;1;1;1;0;1;1;0;1;1;0;1;0;0;0
"mangal_node_3981";0;0;1;0;0;0;0;1;0;1;0;0;0;0;1;0;1;1;1;0
"mangal_node_0220";0;0;0;0;1;0;0;0;1;0;0;1;0;1;0;0;0;0;1;0
"mangal_node_4154";0;0;0;1;0;0;0;0;0;1;0;1;0;0;1;0;1;1;0;1
"mangal_node_3616";0;1;0;0;0;1;1;0;0;0;1;0;1;0;0;1;1;0;0;0
"mangal_node_6178";0;1;0;0;0;1;0;0;0;1;0;1;1;0;0;0;0;0;1;0
"mangal_node_0831";1;0;0;0;0;0;0;0;0;0;1;0;1;1;1;0;0;1;0;0
"mangal_node_0709";0;1;0;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1
"mangal_node_6182";0;0;1;0;0;0;0;0;1;1;0;1;0;0;1;1;0;0;1;0
"mangal_node_6181";0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0
"mangal_node_6171";1;0;0;1;0;1;1;0;0;0;1;0;1;0;0;0;1;0;0;1
"mangal_node_0467";1;0;0;0;0;1;0;0;0;0;1;0;1;1;0;1;0;1;0;0
"mangal_node_6172";1;0;1;1;0;1;0;0;0;0;0;0;0;1;0;0;1;0;1;0
"mangal_node_0448";0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;1
