"";"mangal_node_4195";"mangal_node_4153";"mangal_node_4585";"mangal_node_4331";"mangal_node_4194";"mangal_node_4790";"mangal_node_0256";"mangal_node_4794";"mangal_node_0090";"mangal_node_2110";"mangal_node_4791";"mangal_node_4792";"mangal_node_4793";"mangal_node_2108";"mangal_node_4306";"mangal_node_0038";"mangal_node_4769";"mangal_node_4788";"mangal_node_0443";"mangal_node_4192";"mangal_node_4789"
"mangal_node_4195";1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0
"mangal_node_4153";0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"mangal_node_4585";0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0
"mangal_node_4331";0;1;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0
"mangal_node_4194";0;1;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0
"mangal_node_4790";0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;1;0;1;0;0
"mangal_node_0256";0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0
"mangal_node_4794";0;0;1;0;0;0;0;1;0;0;1;0;0;1;1;0;0;0;0;0;0
"mangal_node_0090";0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;1;0
"mangal_node_2110";0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1
"mangal_node_4791";0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0
"mangal_node_4792";0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1
"mangal_node_4793";0;0;0;0;0;1;0;0;1;1;0;1;1;1;0;1;0;0;1;0;0
"mangal_node_2108";0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;1
"mangal_node_4306";0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;1
"mangal_node_0038";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1
"mangal_node_4769";0;0;1;0;1;0;0;0;0;0;1;0;0;0;1;1;1;0;0;0;0
"mangal_node_4788";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1
"mangal_node_0443";0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1
"mangal_node_4192";0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;1;1
"mangal_node_4789";0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1
