"";"gateway_node_143";"gateway_node_1352";"gateway_node_3812";"gateway_node_3206";"gateway_node_2773";"gateway_node_5008";"gateway_node_5130";"gateway_node_2260";"gateway_node_220";"gateway_node_689";"gateway_node_3748";"gateway_node_3406";"gateway_node_2720";"gateway_node_1580";"gateway_node_588";"gateway_node_585";"gateway_node_695";"gateway_node_1946";"gateway_node_521";"gateway_node_325";"gateway_node_2665";"gateway_node_448";"gateway_node_4143";"gateway_node_3841";"gateway_node_4990";"gateway_node_383";"gateway_node_3757";"gateway_node_3839";"gateway_node_4772";"gateway_node_444";"gateway_node_4164";"gateway_node_2557";"gateway_node_4634";"gateway_node_524";"gateway_node_1309";"gateway_node_591";"gateway_node_1524";"gateway_node_1965";"gateway_node_1209";"gateway_node_1003";"gateway_node_748";"gateway_node_4407";"gateway_node_5191";"gateway_node_3292";"gateway_node_4708";"gateway_node_4154";"gateway_node_4422";"gateway_node_3686";"gateway_node_4845";"gateway_node_592";"gateway_node_350";"gateway_node_4768";"gateway_node_111";"gateway_node_291";"gateway_node_3751";"gateway_node_3557";"gateway_node_182";"gateway_node_1365";"gateway_node_4300"
"gateway_node_143";1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"gateway_node_1352";0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0
"gateway_node_3812";0;0;1;0;0;0;0;1;0;1;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0
"gateway_node_3206";0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0
"gateway_node_2773";1;1;0;1;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"gateway_node_5008";0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"gateway_node_5130";1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;1;1;0;0;0;0;0;0;0
"gateway_node_2260";1;1;0;1;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1
"gateway_node_220";1;0;0;0;1;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"gateway_node_689";0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0
