"";"gateway_node_2409";"gateway_node_1374";"gateway_node_1150";"gateway_node_4504";"gateway_node_1325";"gateway_node_1847";"gateway_node_1000";"gateway_node_2606";"gateway_node_1988";"gateway_node_2496";"gateway_node_3992";"gateway_node_3993";"gateway_node_630";"gateway_node_892";"gateway_node_823";"gateway_node_1381";"gateway_node_2314";"gateway_node_5021";"gateway_node_3014";"gateway_node_4380";"gateway_node_3356";"gateway_node_596";"gateway_node_1845";"gateway_node_3475";"gateway_node_2909";"gateway_node_1448";"gateway_node_4595";"gateway_node_4839";"gateway_node_1194";"gateway_node_335";"gateway_node_3777";"gateway_node_4756"
"gateway_node_2409";1;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0
"gateway_node_1374";0;1;0;1;0;0;0;1;0;1;1;1;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;1;0;0
"gateway_node_1150";0;0;1;0;0;0;0;1;1;0;1;0;0;1;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0
"gateway_node_4504";0;1;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;1;1;0
"gateway_node_1325";1;0;1;1;1;0;0;1;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0
"gateway_node_1847";0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;1;0;0;0;1;0;1;1;0;0;1;0;0;0;1;0
"gateway_node_1000";0;1;0;0;0;1;1;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0
"gateway_node_2606";0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"gateway_node_1988";0;0;0;1;0;0;0;1;1;0;1;0;1;1;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0
"gateway_node_2496";0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;1;1;1;1;0;0;1;0;1;0;0;0
"gateway_node_3992";0;0;0;1;1;0;0;1;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0
"gateway_node_3993";0;1;0;0;0;0;0;1;1;1;0;1;1;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0
"gateway_node_630";1;0;0;0;0;1;0;1;0;0;0;0;1;0;0;1;1;0;0;0;1;0;0;0;1;0;0;1;0;0;1;0
"gateway_node_892";0;0;0;0;1;0;1;0;0;1;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;1;0;1;0;0;0;0
"gateway_node_823";0;1;0;0;0;1;0;0;0;1;0;1;1;0;1;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0
"gateway_node_1381";0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0
"gateway_node_2314";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;1;0;1;0;1;0
"gateway_node_5021";0;0;0;1;1;0;0;0;1;0;0;1;1;0;1;0;0;1;1;0;1;0;0;0;0;1;1;0;0;0;0;0
"gateway_node_3014";0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;1;0;0;1;0;1;1;0;0;0;1;1;1;0
"gateway_node_4380";0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;1;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0
"gateway_node_3356";0;0;0;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0
"gateway_node_596";0;0;1;1;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1
"gateway_node_1845";0;1;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;1;0;0;1;1;0;1;0;0;0;0;0;0
"gateway_node_3475";0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0
"gateway_node_2909";1;0;1;1;1;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0
"gateway_node_1448";0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;1;1;1;1;1;0;0;1;0;0
"gateway_node_4595";1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;1;0;0;0;1;1;1;0;0;1
"gateway_node_4839";1;1;0;0;1;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
"gateway_node_1194";0;0;0;1;0;0;0;0;0;0;0;0;1;1;1;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0
"gateway_node_335";1;0;0;0;0;0;1;1;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0
"gateway_node_3777";0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;1;1;0;0;0;1;1
"gateway_node_4756";0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;1;0;0;1;0;0;0;1;1;0;1;0;1;0;1
