"";"gateway_node_2423";"gateway_node_2414";"gateway_node_106";"gateway_node_4001";"gateway_node_2718";"gateway_node_3646";"gateway_node_2079";"gateway_node_3613";"gateway_node_3147";"gateway_node_4988";"gateway_node_5232";"gateway_node_807";"gateway_node_3499";"gateway_node_3185";"gateway_node_4598";"gateway_node_3455";"gateway_node_105";"gateway_node_563";"gateway_node_2780";"gateway_node_4662";"gateway_node_22";"gateway_node_2592";"gateway_node_3740";"gateway_node_2031";"gateway_node_3673";"gateway_node_257";"gateway_node_282";"gateway_node_3394";"gateway_node_5040";"gateway_node_3379";"gateway_node_3890";"gateway_node_5063";"gateway_node_1125";"gateway_node_606";"gateway_node_4590";"gateway_node_1432";"gateway_node_456";"gateway_node_1571";"gateway_node_2769"
"gateway_node_2423";1;1;0;0;0;1;1;0;0;0;1;0;1;0;1;0;0;0;0;0;1;1;1;0;1;0;0;1;1;1;1;0;0;0;0;0;0;1;1
"gateway_node_2414";0;1;1;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;1;0;0;0;0;0;0;0;1;1;0
"gateway_node_106";0;1;1;0;1;0;0;1;1;0;0;0;0;1;1;0;0;1;0;0;1;0;1;0;0;1;0;1;1;0;1;1;1;0;0;0;0;0;0
"gateway_node_4001";0;1;1;1;1;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;1;0;1;0;0;1;0
"gateway_node_2718";1;0;0;0;1;1;1;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;1;1;1;0;0
"gateway_node_3646";1;0;1;0;0;1;1;0;0;1;0;1;0;0;0;1;1;0;0;0;0;1;0;1;1;0;1;0;0;0;0;0;1;1;0;0;0;0;0
"gateway_node_2079";0;0;0;0;0;0;1;1;0;1;0;1;0;0;1;0;0;1;0;1;0;1;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;1;0
"gateway_node_3613";0;0;0;0;0;1;0;1;0;0;0;1;0;0;1;1;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0
"gateway_node_3147";0;1;0;0;1;1;1;0;1;0;0;1;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;1;0;0;0
"gateway_node_4988";0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;1;1;1;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0
"gateway_node_5232";0;0;1;1;0;0;0;0;1;1;1;0;1;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1
"gateway_node_807";1;0;0;0;0;0;1;1;0;0;0;1;0;0;1;1;1;1;1;1;0;0;0;0;0;1;0;1;0;0;0;0;1;1;0;0;0;1;0
"gateway_node_3499";1;0;1;1;0;1;1;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0
"gateway_node_3185";1;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;1;1;0;1;1;0;1;0;0;0
"gateway_node_4598";0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;1;1;0;0;1;1;0;0;0;1;0;0;0;1;0;0;1;0;0;1;0;0;0;0
"gateway_node_3455";0;0;1;1;0;1;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;1;1;0;1;1;0;0;0;0;0;0;1;0;0;1;0
"gateway_node_105";0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;1;1;1;0;0;0;0;1;0;1;0;1;0;0;0;0;0;1;0;0;0;1;0
"gateway_node_563";1;0;1;0;0;0;0;1;0;1;0;1;1;1;0;1;0;1;0;1;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;1;1;0
"gateway_node_2780";0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;1;1;0;0;0
"gateway_node_4662";1;0;1;0;1;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;1;0;0;0;1;0;0;1;1;0;1;0;0;1;0;0;1;0
"gateway_node_22";0;1;1;1;0;1;1;0;0;0;0;0;0;1;0;0;1;1;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0
"gateway_node_2592";0;0;0;0;0;0;0;1;1;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;1
"gateway_node_3740";0;0;1;1;0;0;0;0;1;1;0;0;1;1;1;0;0;0;0;0;0;0;1;1;1;0;1;0;1;1;0;0;0;0;1;0;0;0;0
"gateway_node_2031";0;0;0;1;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;1;1;0;0;0;1;0;0;0;1;1;0;0;0;0;1
"gateway_node_3673";0;1;0;0;0;1;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;1;1;1;1;0;0;1;0;1;0;1;0;0
"gateway_node_257";0;1;0;0;0;0;1;1;0;0;1;1;1;0;0;0;1;1;1;0;1;1;1;0;0;1;0;0;1;1;0;0;0;1;0;0;1;0;0
"gateway_node_282";0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;1;1
"gateway_node_3394";1;1;0;0;1;0;0;1;0;0;1;1;0;0;0;0;1;0;0;0;1;0;0;0;1;1;1;1;1;0;0;1;0;0;0;0;0;1;0
"gateway_node_5040";0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;1;0;0;0;0;1;0;1;0;1;1;0;0;1;1;0;0;0
"gateway_node_3379";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;1;0;1;0;0;1;0;1;0;1;1;0
"gateway_node_3890";1;0;1;0;0;0;0;1;0;1;1;0;1;1;1;0;0;1;1;0;0;1;0;0;1;0;0;1;1;0;1;1;1;0;0;0;0;0;0
"gateway_node_5063";1;0;0;0;1;0;1;1;0;1;1;0;1;1;0;1;0;1;0;1;0;0;1;0;1;0;0;0;0;0;1;1;1;0;0;1;1;1;0
"gateway_node_1125";1;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;1;1;0;0;1;0;1;0;1;0;1;0;0;0;0;0;0
"gateway_node_606";1;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;1;1;0;1;0;0;0;1;1
"gateway_node_4590";0;0;1;0;1;1;1;0;1;0;0;0;1;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;1;1;0;1;1;0;0;1
"gateway_node_1432";0;0;0;0;0;1;0;1;1;0;0;0;0;1;0;0;1;0;0;0;1;0;1;0;0;0;1;1;0;0;0;1;1;0;0;1;0;0;1
"gateway_node_456";0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;1;0;1;0;0;0;1;0;1;0;0;0;0;1;0;0;1;0;0;1;1;0
"gateway_node_1571";0;0;0;0;1;0;0;1;0;1;0;0;0;1;1;1;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;1;1;1;0;0;0;1;0
"gateway_node_2769";0;1;0;1;1;0;0;1;0;1;0;0;1;0;0;0;0;0;1;1;1;1;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;1
