"";"gateway_node_2421";"gateway_node_2835";"gateway_node_4504";"gateway_node_1847";"gateway_node_823";"gateway_node_1383";"gateway_node_1326";"gateway_node_1381";"gateway_node_2493";"gateway_node_2496";"gateway_node_2490";"gateway_node_2314";"gateway_node_1141";"gateway_node_3994";"gateway_node_4966";"gateway_node_3992";"gateway_node_3991";"gateway_node_1987";"gateway_node_630";"gateway_node_1139";"gateway_node_2494";"gateway_node_1119";"gateway_node_1374";"gateway_node_1150";"gateway_node_5021";"gateway_node_3014";"gateway_node_1277";"gateway_node_1647";"gateway_node_4380";"gateway_node_596";"gateway_node_1845";"gateway_node_3475";"gateway_node_1233";"gateway_node_1234";"gateway_node_2909";"gateway_node_1692";"gateway_node_1106";"gateway_node_4595";"gateway_node_4763";"gateway_node_4241";"gateway_node_4623";"gateway_node_1430";"gateway_node_4838";"gateway_node_2983";"gateway_node_3745";"gateway_node_1560";"gateway_node_4421";"gateway_node_1281";"gateway_node_1225";"gateway_node_1226";"gateway_node_1227";"gateway_node_296";"gateway_node_3003"
"gateway_node_2421";1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0
"gateway_node_2835";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"gateway_node_4504";0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;1;0
"gateway_node_1847";0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0
"gateway_node_823";0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0
"gateway_node_1383";0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"gateway_node_1326";0;0;0;0;1;0;1;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0
"gateway_node_1381";0;1;1;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;1
"gateway_node_2493";0;1;0;1;0;1;0;0;1;0;0;1;0;0;0;1;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0
"gateway_node_2496";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;1;1;1;1;0;0;0;0;0;0;0;1;0;0;1
