"";"gateway_node_5232";"gateway_node_1033";"gateway_node_3817";"gateway_node_1468";"gateway_node_1717";"gateway_node_4001";"gateway_node_2229";"gateway_node_1972";"gateway_node_1858";"gateway_node_727";"gateway_node_4694";"gateway_node_1730";"gateway_node_1056";"gateway_node_4808";"gateway_node_574";"gateway_node_2449";"gateway_node_3890";"gateway_node_829";"gateway_node_5120";"gateway_node_5063";"gateway_node_3629";"gateway_node_4588";"gateway_node_4592";"gateway_node_839";"gateway_node_978";"gateway_node_33";"gateway_node_1156";"gateway_node_2769";"gateway_node_2384";"gateway_node_2117";"gateway_node_3957"
"gateway_node_5232";1;1;0;0;1;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;1;1;0;1;0;1;1;0;0;1
"gateway_node_1033";0;1;0;0;0;0;1;0;0;0;1;0;1;1;0;1;0;0;1;0;0;0;1;0;0;1;0;0;0;1;0
"gateway_node_3817";0;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;1;1;1;0;0
"gateway_node_1468";0;0;0;1;1;0;0;1;0;1;1;1;0;1;0;1;0;0;1;0;1;0;0;0;1;1;1;0;1;0;0
"gateway_node_1717";1;1;0;1;1;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0
"gateway_node_4001";0;0;0;1;0;1;0;0;1;0;0;1;0;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;1
"gateway_node_2229";0;0;1;1;0;1;1;0;1;0;0;1;1;0;0;0;1;0;0;0;0;0;0;1;1;0;0;1;0;1;1
"gateway_node_1972";1;0;0;0;1;0;1;1;1;1;0;0;1;1;0;0;1;0;0;1;0;1;0;1;0;0;0;1;0;1;1
"gateway_node_1858";1;0;1;0;0;0;0;1;1;0;0;0;1;1;1;0;1;0;0;1;1;0;0;1;0;1;0;0;1;1;1
"gateway_node_727";0;1;1;0;1;0;1;0;0;1;0;0;1;1;0;0;0;1;1;0;0;0;1;0;1;0;1;0;0;1;0
"gateway_node_4694";1;0;0;1;0;0;0;0;0;0;1;1;0;0;1;0;1;1;1;1;0;0;0;1;0;0;1;1;0;0;0
"gateway_node_1730";0;1;0;1;0;0;0;1;0;0;0;1;0;1;0;1;0;0;1;1;0;1;0;0;0;1;1;1;1;0;1
"gateway_node_1056";1;1;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0
"gateway_node_4808";1;0;0;1;0;0;1;0;1;0;1;0;1;1;0;0;0;0;0;1;0;0;0;0;0;1;1;0;1;0;0
"gateway_node_574";0;1;0;0;0;0;0;1;0;0;1;0;1;1;1;0;0;1;1;0;1;0;0;0;0;0;0;1;0;0;1
"gateway_node_2449";1;0;1;1;0;0;0;1;1;1;1;0;0;0;1;1;0;1;0;0;0;1;0;1;1;0;0;0;0;1;0
"gateway_node_3890";1;1;1;0;1;0;0;1;0;0;1;1;0;0;1;0;1;0;0;1;0;1;0;1;1;0;0;0;0;0;0
"gateway_node_829";0;0;1;1;1;1;0;1;0;0;1;0;0;0;1;0;0;1;1;1;1;1;1;0;1;1;0;0;0;0;0
"gateway_node_5120";0;0;1;1;0;0;0;0;0;0;1;0;1;0;0;1;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0
"gateway_node_5063";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;1;1;0;0;0;1;1;0;1;0;0;0
"gateway_node_3629";1;1;1;0;1;1;0;1;0;0;0;0;0;0;0;0;1;0;1;0;1;1;0;1;0;1;1;0;0;0;0
"gateway_node_4588";0;0;0;0;1;0;0;1;1;0;0;1;1;0;0;1;0;1;0;0;0;1;1;1;1;0;1;1;1;0;1
"gateway_node_4592";1;1;0;1;1;1;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;1;0
"gateway_node_839";1;0;0;0;1;0;0;0;0;1;1;0;0;1;0;0;1;1;1;1;1;1;0;1;1;1;1;1;0;1;0
"gateway_node_978";0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0
"gateway_node_33";0;1;0;1;0;1;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;1;0;0
"gateway_node_1156";0;0;0;0;0;1;0;1;1;0;1;0;1;1;1;1;1;1;0;0;0;0;1;1;0;0;1;0;0;0;1
"gateway_node_2769";0;1;0;1;0;1;0;0;0;0;0;1;1;0;0;1;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0
"gateway_node_2384";1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;1;1;0;0;1;0;1
"gateway_node_2117";0;0;0;1;0;1;0;1;0;1;0;1;1;0;0;0;0;1;0;0;1;0;0;0;0;0;1;1;0;1;0
"gateway_node_3957";0;1;1;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1
