"";"gateway_node_2755";"gateway_node_4425";"gateway_node_2740";"gateway_node_645";"gateway_node_786";"gateway_node_1257";"gateway_node_4567";"gateway_node_3457";"gateway_node_1587";"gateway_node_787";"gateway_node_2459";"gateway_node_2953";"gateway_node_3727";"gateway_node_4083";"gateway_node_489";"gateway_node_484";"gateway_node_2020";"gateway_node_3582";"gateway_node_3580";"gateway_node_5185";"gateway_node_2700";"gateway_node_3064";"gateway_node_3286";"gateway_node_4338";"gateway_node_4792";"gateway_node_3771";"gateway_node_2934";"gateway_node_3749";"gateway_node_1768";"gateway_node_3059";"gateway_node_1146";"gateway_node_3160";"gateway_node_3454";"gateway_node_4665";"gateway_node_4667";"gateway_node_2168";"gateway_node_1077";"gateway_node_2701";"gateway_node_4637";"gateway_node_2009";"gateway_node_1753";"gateway_node_4885";"gateway_node_4379";"gateway_node_3967";"gateway_node_875";"gateway_node_2838";"gateway_node_1754";"gateway_node_5235";"gateway_node_5010";"gateway_node_781";"gateway_node_4127";"gateway_node_1599";"gateway_node_3192";"gateway_node_3555";"gateway_node_4010";"gateway_node_530";"gateway_node_1861";"gateway_node_1028";"gateway_node_232";"gateway_node_4009";"gateway_node_612";"gateway_node_2483";"gateway_node_3010";"gateway_node_3042";"gateway_node_3712";"gateway_node_2867";"gateway_node_3620";"gateway_node_3775";"gateway_node_3892";"gateway_node_4939";"gateway_node_4941";"gateway_node_5091";"gateway_node_5101";"gateway_node_5102";"gateway_node_5139";"gateway_node_5140";"gateway_node_2392";"gateway_node_3553";"gateway_node_3070";"gateway_node_3362";"gateway_node_3514";"gateway_node_5090";"gateway_node_601";"gateway_node_3516";"gateway_node_4713";"gateway_node_3013";"gateway_node_3009";"gateway_node_3011";"gateway_node_3766";"gateway_node_782";"gateway_node_2663";"gateway_node_3937";"gateway_node_4063";"gateway_node_4247";"gateway_node_4424";"gateway_node_4799";"gateway_node_4388";"gateway_node_528";"gateway_node_118";"gateway_node_4332";"gateway_node_2595";"gateway_node_2596";"gateway_node_4920";"gateway_node_933";"gateway_node_936";"gateway_node_1947";"gateway_node_861";"gateway_node_3081";"gateway_node_4423";"gateway_node_4454";"gateway_node_3166";"gateway_node_4347";"gateway_node_486";"gateway_node_1320";"gateway_node_492";"gateway_node_1565";"gateway_node_181";"gateway_node_1117";"gateway_node_1339";"gateway_node_2567";"gateway_node_3928";"gateway_node_4346";"gateway_node_4348"
"gateway_node_2755";1;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;1;0;1;1;0;0;1;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;1;1;0;0;0;0;0;0;1;1;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;1;0;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0
"gateway_node_4425";0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;1;0;1;0;1;0;0;0;0;1;1;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;1;0;1
"gateway_node_2740";1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;1;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0
"gateway_node_645";0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;1;0;1;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;1;0;0;0;1;0;0;1;0;0;1;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;1;1;0;0;0
"gateway_node_786";0;0;0;1;1;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;1;1;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;1;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0
"gateway_node_1257";1;0;1;0;0;1;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;1;1;0;1;0;1;1;1;1;0;0;0;0;1;1;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0
"gateway_node_4567";0;0;0;0;0;1;1;0;1;1;0;0;0;0;1;0;0;0;1;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;1;0;1;1;1;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;1;0;1;1;0;1;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0
"gateway_node_3457";0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;1;0;1;1;0;0;1;0;0;0;0;1;1;0;0;1;0;0;0;1;0;0;1;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;1;0
"gateway_node_1587";0;0;0;0;0;1;0;0;1;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;1;1;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0
"gateway_node_787";0;1;1;0;0;0;0;1;0;1;0;1;0;0;1;0;1;0;0;0;1;0;0;0;0;1;1;1;1;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;1;0;0;0;0;1;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;1;0;1;0;0;1;0;0;0;1;1;0;1;0;0;0;1;1;0;0;1;1;1;0;0;0;0;1;0;1;1;0;1;0;0;1;0;0;0;0;0;0;1;1;1;0;0
