"";"mangal_node_0514";"mangal_node_5053";"mangal_node_0469";"mangal_node_0090";"mangal_node_3909";"mangal_node_5057";"mangal_node_5058";"mangal_node_5075";"mangal_node_5073";"mangal_node_5056";"mangal_node_3924";"mangal_node_5060";"mangal_node_3911";"mangal_node_5061";"mangal_node_5070";"mangal_node_5074";"mangal_node_3919";"mangal_node_3904";"mangal_node_3915";"mangal_node_3933";"mangal_node_5069";"mangal_node_3927";"mangal_node_5059";"mangal_node_5054";"mangal_node_5062";"mangal_node_5063";"mangal_node_5064";"mangal_node_5071";"mangal_node_5066";"mangal_node_5067";"mangal_node_5068";"mangal_node_5065";"mangal_node_5076";"mangal_node_0594"
"mangal_node_0514";1;0;0;0;0;0;0;0;1;1;1;1;1;0;1;0;0;0;1;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0
"mangal_node_5053";1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;1;1
"mangal_node_0469";1;1;1;0;0;0;0;0;0;1;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0
"mangal_node_0090";0;0;0;1;0;0;0;1;0;1;1;1;1;1;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0
"mangal_node_3909";0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0
"mangal_node_5057";0;1;0;0;1;1;0;1;1;0;0;0;1;1;0;0;0;1;0;0;0;0;0;1;1;0;0;1;1;0;0;0;0;1
"mangal_node_5058";0;1;0;0;0;0;1;0;1;0;0;1;1;0;1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;1;0;1
"mangal_node_5075";0;1;1;1;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0
"mangal_node_5073";0;0;0;1;0;0;0;0;1;0;0;0;1;1;0;0;0;0;1;0;1;0;0;1;0;1;0;0;1;0;0;1;1;0
"mangal_node_5056";0;1;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
"mangal_node_3924";0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;1;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0
"mangal_node_5060";0;0;0;0;0;0;1;0;0;1;0;1;0;1;1;0;0;0;0;0;1;1;0;1;0;1;0;0;1;1;0;1;0;0
"mangal_node_3911";0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;1
"mangal_node_5061";1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0
"mangal_node_5070";0;1;0;0;0;0;0;0;0;1;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;1;1;0;1
"mangal_node_5074";0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;1;1;0;1;0;0;0;0;0;1;0;1;0
"mangal_node_3919";0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;1;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0
"mangal_node_3904";1;0;0;0;0;0;1;1;0;0;0;1;0;0;1;0;0;1;0;0;0;1;0;1;0;1;0;1;1;1;0;0;1;0
"mangal_node_3915";0;0;0;1;1;0;0;1;0;0;1;0;0;0;0;1;0;1;1;0;0;0;0;1;1;1;0;0;0;0;1;1;1;0
"mangal_node_3933";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;1;0;1;1;0;1;0;0;0;0
"mangal_node_5069";0;0;0;1;0;0;1;0;1;1;0;0;1;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0
"mangal_node_3927";0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;1;0;0;1;1;0;1;0;0;0;1;0;0
"mangal_node_5059";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0
"mangal_node_5054";0;0;1;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;1;0;0;1;0;0;0;0;0;1;0
"mangal_node_5062";0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;1;0;0;0;1;0;1;0;0;0;1;0;0;0;1;1
"mangal_node_5063";1;0;1;0;1;0;1;0;1;1;0;0;0;0;0;0;1;1;0;1;1;0;0;0;0;1;0;1;0;0;1;1;0;1
"mangal_node_5064";0;0;0;1;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;1;0;1;0;0;0;1;1;0;0
"mangal_node_5071";0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;1;0;0;1;0;0;1
"mangal_node_5066";0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;1;1;0;0;0;0;1;1;1;1;0;0;0;1;0;1;1;1;0
"mangal_node_5067";1;0;0;1;1;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;1;0
"mangal_node_5068";0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;1;0;1;0;0;0;0;1;0;1;0;1;1;1;0;1;0;0;0
"mangal_node_5065";1;0;0;0;0;1;1;0;0;1;1;0;0;0;0;0;0;0;0;1;0;1;0;1;0;1;0;1;0;0;0;1;0;0
"mangal_node_5076";0;0;0;0;0;0;0;1;1;1;0;0;0;0;1;1;0;0;0;0;0;0;0;1;1;0;0;1;1;0;0;0;1;1
"mangal_node_0594";0;1;0;0;0;0;0;0;1;0;1;1;1;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;1
