"";"gateway_node_3186";"gateway_node_5232";"gateway_node_501";"gateway_node_544";"gateway_node_1978";"gateway_node_2775";"gateway_node_2777";"gateway_node_2778";"gateway_node_4831";"gateway_node_2465";"gateway_node_3264";"gateway_node_3890";"gateway_node_5067";"gateway_node_1428";"gateway_node_1932";"gateway_node_984";"gateway_node_4256";"gateway_node_4258";"gateway_node_1115";"gateway_node_1050";"gateway_node_1411"
"gateway_node_3186";1;0;1;0;0;0;0;0;1;0;0;1;0;1;0;0;0;1;0;0;1
"gateway_node_5232";0;1;0;1;0;1;0;0;0;1;1;1;0;0;0;0;0;1;1;0;0
"gateway_node_501";0;1;1;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0
"gateway_node_544";1;0;1;1;0;1;0;0;0;1;0;0;1;0;0;1;1;0;0;0;1
"gateway_node_1978";0;0;0;1;1;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0
"gateway_node_2775";1;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
"gateway_node_2777";0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;1;0
"gateway_node_2778";0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;1;1;0
"gateway_node_4831";0;1;0;0;1;0;1;0;1;1;0;0;0;1;0;1;0;0;0;1;1
"gateway_node_2465";1;0;1;0;0;0;0;0;0;1;1;0;0;0;1;1;0;0;1;0;0
"gateway_node_3264";1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;1;0;0
"gateway_node_3890";0;0;1;0;0;0;1;0;0;0;0;1;1;1;0;0;0;0;1;1;0
"gateway_node_5067";0;1;1;0;0;0;1;0;0;1;0;0;1;0;1;0;0;0;0;0;1
"gateway_node_1428";0;0;1;0;0;0;0;0;0;0;1;0;1;1;0;0;1;1;0;1;0
"gateway_node_1932";1;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;1;0;0;0;1
"gateway_node_984";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"gateway_node_4256";0;0;0;1;1;1;1;1;0;0;1;0;1;0;0;1;1;1;0;0;1
"gateway_node_4258";0;1;0;0;0;1;0;1;1;1;0;1;0;1;1;0;0;1;0;0;0
"gateway_node_1115";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0
"gateway_node_1050";1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;1;1;1;1
"gateway_node_1411";0;1;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1
