"";"gateway_node_10";"gateway_node_4698";"gateway_node_2671";"gateway_node_2735";"gateway_node_2761";"gateway_node_2755";"gateway_node_2015";"gateway_node_489";"gateway_node_2020";"gateway_node_5187";"gateway_node_1466";"gateway_node_2700";"gateway_node_3064";"gateway_node_3815";"gateway_node_4338";"gateway_node_4374";"gateway_node_5168";"gateway_node_1665";"gateway_node_1077";"gateway_node_3723";"gateway_node_2017";"gateway_node_4344";"gateway_node_760";"gateway_node_4637";"gateway_node_761";"gateway_node_4822";"gateway_node_4885";"gateway_node_2698";"gateway_node_4379";"gateway_node_4895";"gateway_node_4565";"gateway_node_1731";"gateway_node_3457";"gateway_node_1587";"gateway_node_4479";"gateway_node_4449";"gateway_node_423";"gateway_node_420";"gateway_node_879";"gateway_node_2459";"gateway_node_2953";"gateway_node_3727";"gateway_node_4118";"gateway_node_368";"gateway_node_369";"gateway_node_2814";"gateway_node_3395";"gateway_node_4083";"gateway_node_362";"gateway_node_361";"gateway_node_2816";"gateway_node_2821";"gateway_node_3397";"gateway_node_781";"gateway_node_3945";"gateway_node_4127";"gateway_node_2666";"gateway_node_2206";"gateway_node_530";"gateway_node_1861";"gateway_node_1028";"gateway_node_232";"gateway_node_2483";"gateway_node_4056";"gateway_node_3295";"gateway_node_4976";"gateway_node_4979";"gateway_node_4054";"gateway_node_3010";"gateway_node_1451";"gateway_node_1452";"gateway_node_2854";"gateway_node_2886";"gateway_node_1486";"gateway_node_3553";"gateway_node_3514";"gateway_node_3619";"gateway_node_4713";"gateway_node_5223";"gateway_node_4306";"gateway_node_3012";"gateway_node_3766";"gateway_node_4943";"gateway_node_496";"gateway_node_4388";"gateway_node_528";"gateway_node_1870";"gateway_node_2597";"gateway_node_2598";"gateway_node_3103";"gateway_node_3104";"gateway_node_125";"gateway_node_126";"gateway_node_4962";"gateway_node_1712";"gateway_node_2048";"gateway_node_177";"gateway_node_888";"gateway_node_3664";"gateway_node_1947";"gateway_node_4423";"gateway_node_4648";"gateway_node_3583";"gateway_node_3166";"gateway_node_4347";"gateway_node_486";"gateway_node_491";"gateway_node_181";"gateway_node_1117";"gateway_node_1339";"gateway_node_2567";"gateway_node_3928";"gateway_node_4346";"gateway_node_4348"
"gateway_node_10";1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0
"gateway_node_4698";1;1;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;1;0;0;1;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;1;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0
"gateway_node_2671";0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;1;1;1;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0
"gateway_node_2735";1;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0
"gateway_node_2761";1;1;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;1;1;1;1;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"gateway_node_2755";0;0;0;1;1;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0
"gateway_node_2015";0;0;0;0;0;0;1;0;1;0;1;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;1;0;1;1;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;1;1;0;1
"gateway_node_489";0;1;1;0;0;1;0;1;0;1;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;1;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"gateway_node_2020";0;0;0;0;1;0;1;0;1;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;1;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;1;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0
"gateway_node_5187";0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
