"";"gateway_node_5232";"gateway_node_2718";"gateway_node_2449";"gateway_node_257";"gateway_node_1972";"gateway_node_2782";"gateway_node_281";"gateway_node_1151";"gateway_node_4001";"gateway_node_2423";"gateway_node_1190";"gateway_node_3455";"gateway_node_777";"gateway_node_3614";"gateway_node_3264";"gateway_node_3890";"gateway_node_5066";"gateway_node_1042";"gateway_node_832";"gateway_node_4400";"gateway_node_3630"
"gateway_node_5232";1;0;0;0;1;0;1;0;0;1;0;0;0;1;1;1;0;1;1;1;1
"gateway_node_2718";0;1;0;0;0;0;1;1;0;0;1;0;0;0;0;1;0;1;1;1;1
"gateway_node_2449";1;1;1;1;0;0;1;0;0;1;1;1;0;0;0;1;1;1;1;0;0
"gateway_node_257";0;0;0;1;0;0;0;1;1;0;0;0;1;1;0;0;0;1;1;0;1
"gateway_node_1972";0;1;1;1;1;0;0;1;0;1;1;1;0;0;0;0;1;1;1;0;1
"gateway_node_2782";0;0;0;0;0;1;0;1;0;0;1;1;1;0;0;0;0;1;0;1;0
"gateway_node_281";1;0;1;1;1;1;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0
"gateway_node_1151";0;1;0;0;1;1;0;1;1;1;0;1;0;1;1;1;1;0;0;1;0
"gateway_node_4001";0;0;0;1;0;0;1;1;1;0;1;1;0;1;0;0;0;0;1;0;0
"gateway_node_2423";0;1;0;1;1;1;0;0;0;1;1;1;0;0;1;0;1;0;1;1;0
"gateway_node_1190";1;0;0;1;0;1;1;1;0;1;1;1;1;0;0;1;1;0;1;0;1
"gateway_node_3455";1;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;1;1;1;1
"gateway_node_777";0;1;0;1;1;1;0;1;1;0;0;0;1;1;1;0;0;1;1;1;0
"gateway_node_3614";0;0;0;1;1;1;1;1;0;0;0;0;1;1;0;1;0;1;1;1;1
"gateway_node_3264";0;0;1;1;0;0;1;1;1;0;1;0;0;1;1;0;1;0;1;1;0
"gateway_node_3890";1;0;1;0;0;0;1;0;0;1;1;1;1;0;0;1;0;0;1;0;1
"gateway_node_5066";1;0;0;1;1;0;0;0;1;0;0;1;0;0;0;0;1;0;0;1;1
"gateway_node_1042";0;1;1;0;1;1;1;0;1;0;0;1;1;1;0;0;1;1;0;0;1
"gateway_node_832";1;1;1;1;1;0;1;0;0;0;0;0;1;0;1;1;1;0;1;1;0
"gateway_node_4400";0;1;1;1;1;1;0;0;0;0;1;0;0;1;0;1;1;1;1;1;1
"gateway_node_3630";0;0;1;0;0;0;1;1;1;0;0;1;0;0;0;1;1;1;1;0;1
