"";"gateway_node_1440";"gateway_node_3817";"gateway_node_5232";"gateway_node_4001";"gateway_node_1972";"gateway_node_3643";"gateway_node_1858";"gateway_node_4694";"gateway_node_3453";"gateway_node_1730";"gateway_node_3435";"gateway_node_4808";"gateway_node_574";"gateway_node_3890";"gateway_node_667";"gateway_node_5063";"gateway_node_2784";"gateway_node_4588";"gateway_node_4592";"gateway_node_33";"gateway_node_1156";"gateway_node_2001";"gateway_node_2384";"gateway_node_3957";"gateway_node_622"
"gateway_node_1440";1;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0
"gateway_node_3817";0;1;0;0;0;0;0;1;0;1;0;0;0;1;1;0;0;0;1;0;0;0;1;0;0
"gateway_node_5232";0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;1;0
"gateway_node_4001";0;0;1;1;0;1;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0
"gateway_node_1972";0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0
"gateway_node_3643";0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0
"gateway_node_1858";0;0;0;0;0;0;1;1;1;0;1;0;0;1;1;0;0;0;1;0;1;1;0;0;0
"gateway_node_4694";0;0;0;1;0;1;1;1;0;0;1;0;1;0;0;1;0;0;0;1;0;1;0;1;0
"gateway_node_3453";1;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0
"gateway_node_1730";1;0;0;0;1;0;0;1;0;1;1;0;0;0;1;0;0;0;0;1;0;1;0;0;0
"gateway_node_3435";0;0;1;0;0;0;1;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;1;0;0
"gateway_node_4808";1;1;0;1;0;1;0;0;0;0;1;1;0;0;0;1;0;0;0;1;0;0;1;0;0
"gateway_node_574";0;0;0;1;0;1;0;0;0;1;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0
"gateway_node_3890";0;0;0;0;1;0;0;0;1;1;0;0;0;1;0;0;0;0;1;0;0;0;0;1;1
"gateway_node_667";1;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1
"gateway_node_5063";0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"gateway_node_2784";0;0;0;0;1;0;0;0;0;1;1;0;0;0;1;1;1;0;0;0;1;0;1;0;0
"gateway_node_4588";1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;1;1
"gateway_node_4592";0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;1;0;1;1
"gateway_node_33";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1
"gateway_node_1156";0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;1;1;1;1;0;0;0
"gateway_node_2001";1;0;0;0;1;1;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;1;1;0;0
"gateway_node_2384";1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0
"gateway_node_3957";0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;1;1;1;0;1;1;0
"gateway_node_622";1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;1;1
