"";"mangal_node_0559";"mangal_node_2291";"mangal_node_2292";"mangal_node_2293";"mangal_node_2294";"mangal_node_2290";"mangal_node_2299";"mangal_node_2306";"mangal_node_2302";"mangal_node_0090";"mangal_node_2295";"mangal_node_2296";"mangal_node_0844";"mangal_node_0510";"mangal_node_0831";"mangal_node_2297";"mangal_node_2298";"mangal_node_0889";"mangal_node_2300";"mangal_node_2301";"mangal_node_2303";"mangal_node_2304";"mangal_node_2305";"mangal_node_0645";"mangal_node_0448"
"mangal_node_0559";1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"mangal_node_2291";0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
"mangal_node_2292";0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"mangal_node_2293";0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"mangal_node_2294";0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"mangal_node_2290";0;0;0;0;0;1;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0
"mangal_node_2299";0;0;0;0;1;0;1;0;0;0;0;1;0;0;1;0;1;1;0;1;0;0;0;1;0
"mangal_node_2306";0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0
"mangal_node_2302";0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"mangal_node_0090";0;0;1;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"mangal_node_2295";1;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"mangal_node_2296";0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0
"mangal_node_0844";0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"mangal_node_0510";0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0
"mangal_node_0831";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"mangal_node_2297";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"mangal_node_2298";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"mangal_node_0889";1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0
"mangal_node_2300";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
"mangal_node_2301";0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;1;0;0
"mangal_node_2303";0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0
"mangal_node_2304";0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0
"mangal_node_2305";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;1
"mangal_node_0645";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0
"mangal_node_0448";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
