"";"mangal_node_0257";"mangal_node_0258";"mangal_node_0090";"mangal_node_0263";"mangal_node_0264";"mangal_node_0232";"mangal_node_0357";"mangal_node_0234";"mangal_node_0235";"mangal_node_0267";"mangal_node_0330";"mangal_node_0269";"mangal_node_0239";"mangal_node_0307";"mangal_node_0271";"mangal_node_0343";"mangal_node_0240";"mangal_node_0260";"mangal_node_0261";"mangal_node_0354";"mangal_node_0273";"mangal_node_0253";"mangal_node_0250";"mangal_node_0378";"mangal_node_0345";"mangal_node_0242";"mangal_node_0243";"mangal_node_0408";"mangal_node_0245";"mangal_node_0278";"mangal_node_0280";"mangal_node_0287";"mangal_node_0379";"mangal_node_0251";"mangal_node_0398"
"mangal_node_0257";1;0;0;0;0;0;0;0;0;1;1;1;1;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1
"mangal_node_0258";0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1
"mangal_node_0090";0;0;1;0;1;0;0;0;0;0;0;1;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;1;1;1;0;1;0;1;0
"mangal_node_0263";0;0;0;1;0;0;0;0;1;0;1;0;1;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"mangal_node_0264";0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"mangal_node_0232";0;0;1;0;1;1;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;1;0;1;0;0;0
"mangal_node_0357";0;1;0;0;0;0;1;1;0;0;1;0;1;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0
"mangal_node_0234";1;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;1;1;0;1;1;1;1;0;0;0;0;0;0;0
"mangal_node_0235";1;1;1;0;0;1;1;1;1;0;0;1;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0
"mangal_node_0267";0;0;0;0;0;0;1;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1
"mangal_node_0330";0;0;1;0;0;0;1;0;0;1;1;0;0;0;1;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0
"mangal_node_0269";1;0;1;0;1;0;0;0;0;0;0;1;1;1;1;1;0;0;1;0;0;1;0;1;0;0;0;0;0;0;1;0;1;0;0
"mangal_node_0239";0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0
"mangal_node_0307";0;0;0;0;0;0;1;0;0;0;1;1;0;1;0;0;0;0;0;1;0;1;1;0;0;0;1;0;0;0;0;1;0;1;1
"mangal_node_0271";0;0;0;1;0;1;0;0;0;1;0;0;0;0;1;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"mangal_node_0343";0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0
"mangal_node_0240";0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0
"mangal_node_0260";0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0
"mangal_node_0261";0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"mangal_node_0354";0;0;0;0;1;0;1;0;0;0;0;1;0;0;1;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0
"mangal_node_0273";0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;1;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"mangal_node_0253";0;0;0;0;1;0;0;0;0;1;0;1;1;0;0;1;1;0;0;0;0;1;0;1;0;1;1;0;0;0;0;0;1;0;1
"mangal_node_0250";0;0;1;0;0;0;0;1;1;1;1;1;0;1;1;1;0;1;0;1;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0
"mangal_node_0378";1;0;1;0;0;0;0;0;0;1;0;1;1;0;0;1;1;0;0;0;0;1;0;1;0;0;0;1;0;0;1;1;0;0;0
"mangal_node_0345";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"mangal_node_0242";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;1;0;0;0;0;1;1;0;0
"mangal_node_0243";0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;1;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0
"mangal_node_0408";1;1;0;0;0;0;0;0;1;0;1;0;0;0;1;1;1;0;0;0;1;0;1;1;1;0;1;1;0;0;1;1;0;0;0
"mangal_node_0245";0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0
"mangal_node_0278";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;1;1;0
"mangal_node_0280";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0
"mangal_node_0287";0;1;0;0;1;0;0;0;0;0;1;0;0;0;1;1;0;1;1;1;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0
"mangal_node_0379";0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;1
"mangal_node_0251";1;0;1;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0
"mangal_node_0398";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1
