"";"gateway_node_2718";"gateway_node_1190";"gateway_node_3614";"gateway_node_1972";"gateway_node_5232";"gateway_node_3668";"gateway_node_4779";"gateway_node_2449";"gateway_node_2644";"gateway_node_4001";"gateway_node_3435";"gateway_node_3455";"gateway_node_3890";"gateway_node_5066";"gateway_node_1104";"gateway_node_1098";"gateway_node_4400";"gateway_node_1431";"gateway_node_3630";"gateway_node_4314";"gateway_node_868"
"gateway_node_2718";1;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;1
"gateway_node_1190";0;1;0;1;1;0;0;1;0;0;1;0;1;1;1;0;0;1;0;1;1
"gateway_node_3614";1;0;1;0;0;1;0;0;1;0;0;0;1;1;0;1;0;1;0;0;1
"gateway_node_1972";0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;1;1;1;0
"gateway_node_5232";0;1;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0
"gateway_node_3668";0;0;0;1;0;1;0;0;1;0;0;1;0;0;0;1;0;0;1;1;0
"gateway_node_4779";1;0;0;1;1;0;1;1;0;0;0;1;0;0;0;0;1;0;1;0;1
"gateway_node_2449";0;0;0;1;0;0;0;1;0;0;1;1;1;1;0;1;0;1;1;0;1
"gateway_node_2644";1;0;1;0;1;0;0;1;1;1;0;1;1;0;1;0;0;1;0;1;1
"gateway_node_4001";1;0;1;0;1;0;1;0;0;1;1;0;1;0;1;1;1;0;0;1;1
"gateway_node_3435";1;0;0;0;1;0;0;1;0;0;1;0;0;0;1;1;0;0;0;0;0
"gateway_node_3455";1;0;0;1;1;1;1;1;0;1;1;1;1;0;0;0;1;1;0;1;0
"gateway_node_3890";1;1;0;0;0;0;0;0;1;0;0;1;1;1;1;0;1;0;1;1;0
"gateway_node_5066";1;1;1;1;0;0;0;0;0;0;0;0;0;1;0;1;0;1;1;0;0
"gateway_node_1104";1;1;0;0;1;1;0;1;1;1;0;1;0;0;1;0;1;0;0;1;0
"gateway_node_1098";1;0;0;0;1;0;0;1;0;0;0;0;0;1;0;1;0;0;1;0;1
"gateway_node_4400";0;0;0;1;0;1;0;1;1;0;0;0;0;0;1;0;1;0;1;0;0
"gateway_node_1431";0;0;0;1;0;1;0;1;1;1;0;0;0;1;0;1;0;1;1;0;0
"gateway_node_3630";0;0;0;1;0;0;0;1;0;1;0;1;0;1;0;0;0;0;1;0;0
"gateway_node_4314";0;0;1;1;0;0;0;0;0;1;1;0;1;0;1;0;0;0;0;1;0
"gateway_node_868";0;0;0;0;0;1;0;1;1;1;1;1;1;0;1;1;1;0;0;1;1
