"";"gateway_node_5232";"gateway_node_1033";"gateway_node_3817";"gateway_node_1717";"gateway_node_1312";"gateway_node_4777";"gateway_node_2229";"gateway_node_1858";"gateway_node_4694";"gateway_node_1730";"gateway_node_3497";"gateway_node_2449";"gateway_node_249";"gateway_node_1056";"gateway_node_3614";"gateway_node_4779";"gateway_node_2411";"gateway_node_3264";"gateway_node_4001";"gateway_node_2437";"gateway_node_1629";"gateway_node_1972";"gateway_node_281";"gateway_node_3890";"gateway_node_667";"gateway_node_827";"gateway_node_829";"gateway_node_5063";"gateway_node_1424";"gateway_node_2784";"gateway_node_4400";"gateway_node_4592";"gateway_node_1156";"gateway_node_2384";"gateway_node_1240";"gateway_node_3957"
"gateway_node_5232";1;1;1;1;1;0;1;1;0;0;0;0;1;1;0;1;0;0;1;0;0;0;1;1;0;0;0;1;0;0;0;0;0;1;0;0
"gateway_node_1033";0;1;0;1;0;0;0;0;1;1;1;1;1;1;1;0;0;0;0;1;0;1;1;1;0;1;0;0;1;0;0;0;1;1;0;0
"gateway_node_3817";0;0;1;1;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;1;0;0;1;0;0;0;0;1
"gateway_node_1717";0;1;1;1;0;0;0;1;1;0;0;1;0;0;0;0;1;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0
"gateway_node_1312";1;1;0;1;1;0;0;0;0;1;0;1;1;1;1;0;1;0;0;0;1;0;1;0;1;0;0;0;1;1;0;1;0;1;0;0
"gateway_node_4777";0;1;1;0;1;1;0;0;1;1;0;1;1;0;0;1;1;1;0;0;0;1;0;0;1;0;0;1;1;1;1;1;0;0;0;0
"gateway_node_2229";0;0;1;0;0;0;1;1;1;1;0;1;0;0;0;0;0;0;0;0;1;0;1;1;0;1;0;0;1;0;0;0;0;1;0;0
"gateway_node_1858";0;0;0;1;0;0;1;1;0;0;0;1;1;1;0;1;0;0;0;0;0;0;1;0;0;1;1;0;1;0;1;0;0;1;1;0
"gateway_node_4694";0;1;1;1;0;0;1;0;1;1;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0
"gateway_node_1730";0;0;1;0;1;0;1;0;0;1;0;1;0;0;0;1;1;0;1;0;0;1;1;0;0;0;0;1;0;0;0;1;1;1;1;0
"gateway_node_3497";0;0;1;1;0;1;0;1;0;1;1;0;0;1;1;1;0;1;1;1;0;1;1;1;0;1;0;0;0;1;1;0;0;0;1;1
"gateway_node_2449";0;0;0;1;0;1;0;1;0;0;0;1;0;1;1;0;1;1;0;1;0;0;0;1;1;0;0;1;0;0;1;0;1;0;0;1
"gateway_node_249";1;0;1;1;1;1;1;1;0;0;0;1;1;0;0;0;0;0;0;0;1;1;1;0;1;1;1;1;0;1;0;0;1;0;0;1
"gateway_node_1056";0;1;0;1;0;0;0;1;0;1;1;0;1;1;1;1;0;0;0;0;0;0;1;1;0;0;0;0;0;1;1;1;1;1;1;0
