"";"gateway_node_280";"gateway_node_4856";"gateway_node_2426";"gateway_node_4802";"gateway_node_5232";"gateway_node_4726";"gateway_node_672";"gateway_node_4598";"gateway_node_112";"gateway_node_2423";"gateway_node_4234";"gateway_node_3788";"gateway_node_3092";"gateway_node_3149";"gateway_node_4001";"gateway_node_3898";"gateway_node_5044";"gateway_node_3498";"gateway_node_2990";"gateway_node_3031";"gateway_node_1455";"gateway_node_4989";"gateway_node_3736";"gateway_node_4335";"gateway_node_309";"gateway_node_2436";"gateway_node_2472";"gateway_node_1057";"gateway_node_4997";"gateway_node_1652";"gateway_node_2916";"gateway_node_3267";"gateway_node_3890";"gateway_node_667";"gateway_node_828";"gateway_node_1103";"gateway_node_5123";"gateway_node_5066";"gateway_node_2129";"gateway_node_3573";"gateway_node_2003";"gateway_node_2114";"gateway_node_2116";"gateway_node_2118";"gateway_node_877";"gateway_node_2324";"gateway_node_4395";"gateway_node_4397";"gateway_node_2362"
"gateway_node_280";1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0
"gateway_node_4856";0;1;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"gateway_node_2426";0;1;1;0;1;0;1;1;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;1;0;1;0;1;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1
"gateway_node_4802";0;0;1;1;1;1;0;0;0;1;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;1
"gateway_node_5232";1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;1;0;0;0;0;1;1
"gateway_node_4726";0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;1;0;1;1;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;1;0;0;0;0;1;1;0;1;0;0
"gateway_node_672";0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;1;1;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;1
"gateway_node_4598";0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;1;1;0;0;1;0;0;1;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1
"gateway_node_112";0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0
"gateway_node_2423";0;1;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;1;1
"gateway_node_4234";0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;1;0;0;0;1;1;0;0;0;0;0
"gateway_node_3788";0;1;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;1;0;1;0;0;1;1;0;0;1;0;0;1;0;1;0;0;0;0;0;1;1;0;0;1;1;0;0;0;0;0;0
"gateway_node_3092";0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;1;1;1;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;1;0
"gateway_node_3149";0;0;1;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;1;1;0;1;0;0;0;0;0;0;1;0;0
"gateway_node_4001";1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;1;1;0;1;0;0;1;0;0;0;1;1;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0
"gateway_node_3898";0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"gateway_node_5044";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1
"gateway_node_3498";0;0;0;0;1;0;0;0;1;0;1;0;0;1;0;1;0;1;1;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;1;1;0;0;0;1;0;0;1;1;0;1
"gateway_node_2990";1;0;1;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"gateway_node_3031";0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;1;0;1;1;0;0;0;1;0;0;0;1;1;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0
"gateway_node_1455";0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0
"gateway_node_4989";0;1;0;1;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0
"gateway_node_3736";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;1
"gateway_node_4335";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"gateway_node_309";0;1;1;0;1;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;1;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0
"gateway_node_2436";0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0
"gateway_node_2472";0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;1;0;0;1;0;1;0;1;1;0;0;1;0;0;0;0;1;0;0;0;1;0;0
