"";"gateway_node_34";"gateway_node_20";"gateway_node_25";"gateway_node_26";"gateway_node_925";"gateway_node_967";"gateway_node_968";"gateway_node_969";"gateway_node_2798";"gateway_node_1135";"gateway_node_1603";"gateway_node_1850";"gateway_node_1851";"gateway_node_1852";"gateway_node_1853";"gateway_node_1854";"gateway_node_1855";"gateway_node_1856";"gateway_node_2239";"gateway_node_4471";"gateway_node_4472";"gateway_node_4473";"gateway_node_4474";"gateway_node_4475";"gateway_node_4476";"gateway_node_4477";"gateway_node_4548";"gateway_node_4682";"gateway_node_4807";"gateway_node_4926";"gateway_node_4927";"gateway_node_4928";"gateway_node_320";"gateway_node_513";"gateway_node_547";"gateway_node_641";"gateway_node_684";"gateway_node_2447";"gateway_node_2481";"gateway_node_3357";"gateway_node_3358";"gateway_node_3696";"gateway_node_3790";"gateway_node_3857";"gateway_node_3884";"gateway_node_4237";"gateway_node_4503";"gateway_node_2543";"gateway_node_1034";"gateway_node_3349";"gateway_node_512";"gateway_node_3460";"gateway_node_3798";"gateway_node_3799";"gateway_node_3797";"gateway_node_3800";"gateway_node_3801";"gateway_node_4993";"gateway_node_4393";"gateway_node_117";"gateway_node_166";"gateway_node_597";"gateway_node_671";"gateway_node_840";"gateway_node_869";"gateway_node_923";"gateway_node_980";"gateway_node_1045";"gateway_node_1100";"gateway_node_1126";"gateway_node_1127";"gateway_node_1154";"gateway_node_1518";"gateway_node_1540";"gateway_node_1611";"gateway_node_2002";"gateway_node_1999";"gateway_node_2056";"gateway_node_2125";"gateway_node_2135";"gateway_node_2196";"gateway_node_2291";"gateway_node_2561";"gateway_node_2633";"gateway_node_2945";"gateway_node_3119";"gateway_node_2771";"gateway_node_3360";"gateway_node_3792";"gateway_node_3796";"gateway_node_3802";"gateway_node_3958";"gateway_node_4035";"gateway_node_4067";"gateway_node_4091";"gateway_node_4257";"gateway_node_4259";"gateway_node_4296";"gateway_node_4428";"gateway_node_4430";"gateway_node_4489";"gateway_node_4949";"gateway_node_5065";"gateway_node_5068";"gateway_node_3924"
"gateway_node_34";1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;1;0;1;1;0;1;0;0;1;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"gateway_node_20";0;1;0;0;1;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;1;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;1;0;0;0;0;1;0;0;1;0;1;1;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1
"gateway_node_25";0;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;1;0;0;0;1;0;0;1;1;1;1;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;1;0;1;0;0;0;0;1;0;0;0;0
"gateway_node_26";1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;1;1;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;1;0;0;0;0;0;1
"gateway_node_925";0;0;0;1;1;1;0;0;0;1;0;0;0;1;1;0;1;1;0;0;0;1;0;0;0;1;0;1;0;0;1;0;0;0;0;1;0;0;0;1;1;1;0;1;0;1;0;0;1;0;1;0;1;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;1;0;1;1;0;0;1;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"gateway_node_967";0;0;0;0;0;1;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;1;0;1;0;0;0;1;0;1;0;0;0;0;0;1;0;0;1;1;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;1;1;1;0;0;0;0;1;0;0;0;1;0;0;0;1
"gateway_node_968";0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;1;1;0;1;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"gateway_node_969";0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;1;1;0;1;0;1;1;0;0;1;1;0;0;0
"gateway_node_2798";0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;1;0;1;0;1;1;0;0;0;0;0;1;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0
"gateway_node_1135";0;1;0;1;0;0;0;0;1;1;1;1;0;1;0;0;1;0;1;0;0;1;0;0;1;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;1;1;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1
