"";"mangal_node_0090";"mangal_node_0352";"mangal_node_0263";"mangal_node_0264";"mangal_node_0232";"mangal_node_0266";"mangal_node_0346";"mangal_node_0234";"mangal_node_0235";"mangal_node_0236";"mangal_node_0237";"mangal_node_0358";"mangal_node_0359";"mangal_node_0238";"mangal_node_0239";"mangal_node_0271";"mangal_node_0272";"mangal_node_0300";"mangal_node_0360";"mangal_node_0301";"mangal_node_0260";"mangal_node_0338";"mangal_node_0257";"mangal_node_0273";"mangal_node_0361";"mangal_node_0362";"mangal_node_0247";"mangal_node_0363";"mangal_node_0249";"mangal_node_0276";"mangal_node_0345";"mangal_node_0242";"mangal_node_0243";"mangal_node_0245";"mangal_node_0278";"mangal_node_0246";"mangal_node_0281";"mangal_node_0364";"mangal_node_0365";"mangal_node_0248";"mangal_node_0366";"mangal_node_0335";"mangal_node_0254";"mangal_node_0252";"mangal_node_0305";"mangal_node_0306"
"mangal_node_0090";1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;1;1;0;0;0;0;1;0;1;0;0;1;1
"mangal_node_0352";0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"mangal_node_0263";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"mangal_node_0264";0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;1;0;1;1;0;0;1;0;0;1;0;0;0;1;0;0;0
"mangal_node_0232";0;1;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"mangal_node_0266";0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0
"mangal_node_0346";1;0;1;0;1;0;1;0;0;1;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;1
"mangal_node_0234";0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0
"mangal_node_0235";0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;1;0
"mangal_node_0236";0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;1;0
