"";"gateway_node_885";"gateway_node_1579";"gateway_node_5163";"gateway_node_4580";"gateway_node_4732";"gateway_node_135";"gateway_node_292";"gateway_node_2657";"gateway_node_2659";"gateway_node_1791";"gateway_node_4377";"gateway_node_4730";"gateway_node_1138";"gateway_node_4734";"gateway_node_2153";"gateway_node_1114";"gateway_node_2151";"gateway_node_5237";"gateway_node_3207";"gateway_node_3291";"gateway_node_3188";"gateway_node_1075";"gateway_node_3917";"gateway_node_3720";"gateway_node_1501";"gateway_node_2535";"gateway_node_4634";"gateway_node_4911";"gateway_node_2837";"gateway_node_3912";"gateway_node_1496";"gateway_node_2280";"gateway_node_4888";"gateway_node_4378";"gateway_node_2935";"gateway_node_4887";"gateway_node_322";"gateway_node_3915";"gateway_node_2635";"gateway_node_4842";"gateway_node_2070";"gateway_node_4981";"gateway_node_4843";"gateway_node_144";"gateway_node_4402";"gateway_node_577";"gateway_node_578";"gateway_node_2403";"gateway_node_3312";"gateway_node_3829";"gateway_node_1582";"gateway_node_1628";"gateway_node_1074";"gateway_node_3914";"gateway_node_2699";"gateway_node_3610";"gateway_node_3067";"gateway_node_2110";"gateway_node_2402";"gateway_node_3837";"gateway_node_2936";"gateway_node_4894";"gateway_node_944";"gateway_node_1009";"gateway_node_2209";"gateway_node_3826";"gateway_node_2959";"gateway_node_376";"gateway_node_1546";"gateway_node_1502";"gateway_node_42";"gateway_node_378";"gateway_node_4844";"gateway_node_153";"gateway_node_152";"gateway_node_780";"gateway_node_288";"gateway_node_732";"gateway_node_963";"gateway_node_1344";"gateway_node_3759";"gateway_node_2601";"gateway_node_1026";"gateway_node_4681";"gateway_node_2477";"gateway_node_3836";"gateway_node_1937";"gateway_node_3942";"gateway_node_1342";"gateway_node_3270";"gateway_node_2407";"gateway_node_4324";"gateway_node_343";"gateway_node_2680";"gateway_node_835";"gateway_node_1343";"gateway_node_1514";"gateway_node_3607";"gateway_node_2613";"gateway_node_3181";"gateway_node_1602";"gateway_node_2581";"gateway_node_159";"gateway_node_731";"gateway_node_4724";"gateway_node_3821";"gateway_node_2682";"gateway_node_4507";"gateway_node_4916";"gateway_node_4680";"gateway_node_4696";"gateway_node_4392";"gateway_node_4594";"gateway_node_4192";"gateway_node_1025";"gateway_node_4432";"gateway_node_778";"gateway_node_3851";"gateway_node_3144";"gateway_node_3145";"gateway_node_2266";"gateway_node_2264";"gateway_node_4291";"gateway_node_975";"gateway_node_3082";"gateway_node_2240";"gateway_node_41";"gateway_node_3590";"gateway_node_4960";"gateway_node_4632";"gateway_node_3595";"gateway_node_3926";"gateway_node_4899";"gateway_node_4710";"gateway_node_3978";"gateway_node_4562";"gateway_node_1648";"gateway_node_5150";"gateway_node_5152"
"gateway_node_885";1;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;1;0;1;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"gateway_node_1579";0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;1;0;1;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;1;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;1
"gateway_node_5163";0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0
"gateway_node_4580";0;1;0;1;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;1;1;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;1;1;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0
"gateway_node_4732";0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0
"gateway_node_135";1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;1;0;1;1;0;0;1;0;0;1;0;0;0;0;0;1;1;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0
"gateway_node_292";1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0
"gateway_node_2657";0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;1;1;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;1;0
"gateway_node_2659";1;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;1;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0
"gateway_node_1791";0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;1;0;1;1;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0
