"";"mangal_node_0264";"mangal_node_0257";"mangal_node_0090";"mangal_node_0258";"mangal_node_0259";"mangal_node_0338";"mangal_node_0263";"mangal_node_0232";"mangal_node_0236";"mangal_node_0260";"mangal_node_0261";"mangal_node_0296";"mangal_node_0234";"mangal_node_0235";"mangal_node_0297";"mangal_node_0239";"mangal_node_0298";"mangal_node_0271";"mangal_node_0299";"mangal_node_0273";"mangal_node_0275";"mangal_node_0245";"mangal_node_0278";"mangal_node_0281";"mangal_node_0251";"mangal_node_0230";"mangal_node_0304";"mangal_node_0290"
"mangal_node_0264";1;0;0;0;0;0;1;0;1;1;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0
"mangal_node_0257";0;1;0;0;1;0;1;0;0;1;0;0;1;0;0;0;1;0;1;0;0;0;1;1;1;0;0;0
"mangal_node_0090";1;1;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0
"mangal_node_0258";0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0
"mangal_node_0259";1;1;1;1;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1
"mangal_node_0338";0;0;0;0;0;1;1;0;0;0;1;1;0;0;1;1;0;0;0;0;1;1;0;0;0;0;0;1
"mangal_node_0263";0;0;0;1;0;0;1;1;1;0;0;0;0;0;1;1;0;0;0;1;0;0;0;1;0;0;0;0
"mangal_node_0232";0;0;1;0;0;1;0;1;1;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;1;0;1
"mangal_node_0236";0;1;0;1;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0
"mangal_node_0260";1;0;0;1;1;0;0;0;0;1;1;1;0;0;1;1;0;1;0;1;1;0;0;0;0;0;0;0
"mangal_node_0261";0;0;0;0;0;0;1;1;0;1;1;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0
"mangal_node_0296";0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;1
"mangal_node_0234";0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"mangal_node_0235";0;0;0;0;0;1;0;0;0;0;1;0;1;1;0;0;0;1;1;0;0;0;0;0;1;0;0;0
"mangal_node_0297";1;1;1;1;0;0;0;0;0;0;0;0;0;1;1;0;1;0;1;0;0;0;0;0;0;0;0;0
"mangal_node_0239";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;1;0;0;0;0;0;0
"mangal_node_0298";0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;1;1;1;1;0;0;0;0;0;0
"mangal_node_0271";1;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;1;0;0;0
"mangal_node_0299";0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0
"mangal_node_0273";1;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;1;1;1;0;0;0;0;1;0;0
"mangal_node_0275";1;1;1;1;0;0;0;0;0;1;1;1;0;0;1;0;1;0;0;0;1;1;1;0;0;0;0;0
"mangal_node_0245";0;0;1;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1
"mangal_node_0278";1;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0
"mangal_node_0281";0;1;0;1;1;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;1;0;0;1;1;1;0;1
"mangal_node_0251";0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0
"mangal_node_0230";0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;1;0
"mangal_node_0304";0;1;0;0;1;0;0;0;0;0;0;1;1;1;0;0;1;0;1;0;0;1;0;1;0;0;1;0
"mangal_node_0290";0;1;0;0;0;0;0;0;1;1;0;1;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;1
