"";"mangal_node_2114";"mangal_node_2116";"mangal_node_2117";"mangal_node_2106";"mangal_node_2107";"mangal_node_0475";"mangal_node_2113";"mangal_node_2112";"mangal_node_0685";"mangal_node_2108";"mangal_node_2111";"mangal_node_2109";"mangal_node_2110";"mangal_node_0492";"mangal_node_2105";"mangal_node_2115";"mangal_node_2118";"mangal_node_2119";"mangal_node_0645";"mangal_node_2104";"mangal_node_0090"
"mangal_node_2114";1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
"mangal_node_2116";0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"mangal_node_2117";0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"mangal_node_2106";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"mangal_node_2107";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"mangal_node_0475";0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0
"mangal_node_2113";0;0;0;1;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0
"mangal_node_2112";0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"mangal_node_0685";0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0
"mangal_node_2108";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0
"mangal_node_2111";1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0
"mangal_node_2109";0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;1;0;0
"mangal_node_2110";0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"mangal_node_0492";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"mangal_node_2105";0;0;0;0;0;0;0;1;0;1;1;0;0;0;1;0;0;0;1;0;0
"mangal_node_2115";0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0
"mangal_node_2118";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0
"mangal_node_2119";0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;1;0
"mangal_node_0645";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0
"mangal_node_2104";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0
"mangal_node_0090";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
