"";"gateway_node_4784";"gateway_node_4373";"gateway_node_1419";"gateway_node_4531";"gateway_node_771";"gateway_node_927";"gateway_node_964";"gateway_node_2172";"gateway_node_2649";"gateway_node_3272";"gateway_node_3445";"gateway_node_3946";"gateway_node_3996";"gateway_node_4526";"gateway_node_1490";"gateway_node_3548";"gateway_node_4551";"gateway_node_2344";"gateway_node_4550";"gateway_node_2170";"gateway_node_1895";"gateway_node_1896";"gateway_node_1929";"gateway_node_1930";"gateway_node_1393";"gateway_node_1394";"gateway_node_1397";"gateway_node_1396";"gateway_node_1401";"gateway_node_1392";"gateway_node_1395";"gateway_node_653";"gateway_node_3789";"gateway_node_1743";"gateway_node_1740";"gateway_node_4764";"gateway_node_500";"gateway_node_56";"gateway_node_69";"gateway_node_1741";"gateway_node_1747";"gateway_node_1748";"gateway_node_1752";"gateway_node_4530";"gateway_node_1405";"gateway_node_1406";"gateway_node_1409";"gateway_node_1408";"gateway_node_1404";"gateway_node_1407";"gateway_node_1880"
"gateway_node_4784";1;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;1;1;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;1;0;1;0;0;0;0;0
"gateway_node_4373";0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;1;1;0;0;1;0;1;0;0;1;0;1;0;1;0;0;0;1;1;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;1
"gateway_node_1419";0;0;1;0;1;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"gateway_node_4531";1;0;0;1;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
"gateway_node_771";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;1;0;0;1
"gateway_node_927";0;0;0;0;0;1;0;1;1;1;0;0;0;1;0;0;1;0;1;0;1;1;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0
"gateway_node_964";1;0;0;1;1;1;1;0;0;0;1;1;0;0;0;1;0;1;0;0;0;1;1;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1
"gateway_node_2172";0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;1;1;1;0;0;1;0;0;1
"gateway_node_2649";0;0;0;1;0;0;1;0;1;0;1;0;1;1;0;0;0;0;1;0;0;0;0;0;1;1;1;0;1;0;0;0;1;1;0;1;1;0;0;0;0;1;0;0;0;1;0;0;1;1;0
"gateway_node_3272";0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;1;1;0;0;0;1;1;0;0;1;0;0;1;0;0;0;1;0;0;1;0;0;0
