"";"gateway_node_2423";"gateway_node_282";"gateway_node_4001";"gateway_node_2718";"gateway_node_3646";"gateway_node_3645";"gateway_node_2079";"gateway_node_4988";"gateway_node_1972";"gateway_node_3147";"gateway_node_3185";"gateway_node_5232";"gateway_node_807";"gateway_node_4574";"gateway_node_3499";"gateway_node_3264";"gateway_node_3435";"gateway_node_5145";"gateway_node_4779";"gateway_node_4598";"gateway_node_3455";"gateway_node_4662";"gateway_node_563";"gateway_node_22";"gateway_node_729";"gateway_node_2904";"gateway_node_3740";"gateway_node_2031";"gateway_node_4335";"gateway_node_257";"gateway_node_5040";"gateway_node_3379";"gateway_node_3890";"gateway_node_5063";"gateway_node_1125";"gateway_node_606";"gateway_node_4590";"gateway_node_1432";"gateway_node_456";"gateway_node_1427";"gateway_node_321";"gateway_node_1571"
"gateway_node_2423";1;0;0;0;0;1;0;1;0;0;0;1;0;1;0;0;1;0;1;0;1;0;0;0;0;1;1;1;0;0;0;0;1;1;0;1;0;1;0;0;0;1
"gateway_node_282";0;1;1;1;0;0;0;0;1;0;1;0;1;0;1;0;0;0;0;0;0;1;0;0;1;0;0;1;0;1;1;0;1;0;0;0;1;1;0;0;0;0
"gateway_node_4001";0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;1;0;0;1;1;0;0
"gateway_node_2718";0;0;0;1;0;0;0;0;1;1;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;1;1;0;1;0;1;1;0;0;1
"gateway_node_3646";0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1
"gateway_node_3645";0;0;0;0;1;1;0;0;0;0;1;0;1;0;1;0;1;1;0;1;0;0;1;0;0;0;1;1;0;1;0;0;1;0;0;0;0;1;0;1;0;0
"gateway_node_2079";1;1;1;1;0;1;1;1;1;1;0;0;0;0;1;1;1;0;0;1;0;0;1;0;0;0;1;1;0;0;0;1;0;1;1;1;0;0;0;0;0;1
"gateway_node_4988";1;0;1;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;1;0;0;1;1;0;0;1;0;1;0;1;0;0;0;0;1;1;1;0;1;1;0;0
"gateway_node_1972";0;0;0;1;0;1;0;1;1;0;1;1;0;0;1;1;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;1;0;1;0;0;0;1;1;0;1;1
"gateway_node_3147";0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;1;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0
"gateway_node_3185";0;1;0;0;1;0;1;0;0;0;1;0;1;0;1;0;1;0;0;1;1;1;1;1;0;0;1;1;0;0;1;1;0;0;0;0;1;0;0;1;0;1
"gateway_node_5232";0;1;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;1;1;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1
"gateway_node_807";0;0;1;0;1;0;1;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;1;0;1;1;0;0;0;1;0
"gateway_node_4574";0;1;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0
"gateway_node_3499";0;0;0;1;1;0;0;0;0;0;0;0;0;1;1;1;0;1;1;0;1;0;1;1;0;0;1;0;1;0;0;0;0;0;1;0;1;1;1;0;1;0
"gateway_node_3264";0;0;0;0;1;0;1;0;1;1;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;1;0;1;0;0;0;0
