"";"mangal_node_0256";"mangal_node_0349";"mangal_node_0350";"mangal_node_0258";"mangal_node_0351";"mangal_node_0090";"mangal_node_0352";"mangal_node_0263";"mangal_node_0264";"mangal_node_0265";"mangal_node_0232";"mangal_node_0266";"mangal_node_0234";"mangal_node_0235";"mangal_node_0236";"mangal_node_0309";"mangal_node_0267";"mangal_node_0268";"mangal_node_0330";"mangal_node_0239";"mangal_node_0298";"mangal_node_0308";"mangal_node_0271";"mangal_node_0299";"mangal_node_0272";"mangal_node_0260";"mangal_node_0255";"mangal_node_0354";"mangal_node_0273";"mangal_node_0274";"mangal_node_0333";"mangal_node_0249";"mangal_node_0250";"mangal_node_0242";"mangal_node_0243";"mangal_node_0245";"mangal_node_0279";"mangal_node_0280";"mangal_node_0315";"mangal_node_0286";"mangal_node_0287";"mangal_node_0317";"mangal_node_0251";"mangal_node_0289";"mangal_node_0304";"mangal_node_0321";"mangal_node_0353"
"mangal_node_0256";1;0;0;0;1;0;1;0;0;0;1;0;1;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0
"mangal_node_0349";1;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0
"mangal_node_0350";0;1;1;1;0;0;0;1;0;0;0;0;1;1;0;1;0;1;0;0;0;1;0;0;0;0;1;0;1;0;1;0;0;1;1;0;0;0;0;1;1;0;0;0;0;0;0
"mangal_node_0258";1;1;0;1;0;0;0;0;1;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0
"mangal_node_0351";0;1;1;1;1;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;1;0;1;0;1;0;0;0;0;1;0
"mangal_node_0090";0;0;1;0;0;1;0;1;0;1;0;1;0;1;0;1;0;0;0;0;1;1;0;0;0;1;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0
"mangal_node_0352";0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0
"mangal_node_0263";0;0;0;0;1;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0
"mangal_node_0264";0;0;0;1;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0
"mangal_node_0265";0;0;0;0;0;0;1;0;1;1;0;1;1;0;0;1;0;1;0;0;1;1;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"mangal_node_0232";1;0;1;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"mangal_node_0266";0;1;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;1;1;1;1;0;0;0;1;0;1
"mangal_node_0234";0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0
"mangal_node_0235";0;0;0;1;0;1;0;0;0;1;0;1;0;1;0;0;1;1;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"mangal_node_0236";0;1;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0
"mangal_node_0309";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;1;0;1;0;0;0;0;0;0;0;0
"mangal_node_0267";0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1
"mangal_node_0268";1;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;1;1;0;0;1;1;0;0;0;1;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"mangal_node_0330";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"mangal_node_0239";0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
"mangal_node_0298";0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;1;0;1;0;0;0;0;0;1;0;1;1;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0
"mangal_node_0308";1;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0
"mangal_node_0271";1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0
"mangal_node_0299";0;0;1;1;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0
"mangal_node_0272";0;0;0;0;1;0;1;1;0;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;1;0;0;0
"mangal_node_0260";1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;1;1;0;0;1;0;1;1;1;0;1;0;0;0;1;1;0;1;0;0;1;1;0
"mangal_node_0255";1;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0
"mangal_node_0354";0;1;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;1;0;0;0;1;1;1;0;0;0;0;1;0;1;0;0;0;0;0
"mangal_node_0273";1;0;1;0;1;0;1;0;0;0;0;0;1;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"mangal_node_0274";1;0;0;1;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;1
"mangal_node_0333";0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;1;0;1;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0
"mangal_node_0249";0;0;1;1;0;0;0;0;0;0;1;0;0;1;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"mangal_node_0250";0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;1;0;1;0;1;0;0;0;0
"mangal_node_0242";0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;1;0;0;0;1;1;0;1;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0
"mangal_node_0243";0;1;0;0;0;1;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;1;0;0;0;1;0;0;0;1
"mangal_node_0245";1;0;1;1;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;1;0;1
"mangal_node_0279";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"mangal_node_0280";0;1;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;1
"mangal_node_0315";0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;1;1;1;1;0;0;0;0;0;0;0;0
"mangal_node_0286";0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0
"mangal_node_0287";0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;1;1;0
"mangal_node_0317";0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0
"mangal_node_0251";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0;1;1;1;1;1;1;0;0
"mangal_node_0289";1;1;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;1;0;1;1;0;1;1;0;0;1
"mangal_node_0304";0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;1;0
"mangal_node_0321";0;0;0;0;1;0;1;0;0;0;0;1;0;1;1;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;1;0
"mangal_node_0353";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1
