"";"gateway_node_1847";"gateway_node_1022";"gateway_node_1380";"gateway_node_1381";"gateway_node_2496";"gateway_node_2491";"gateway_node_1332";"gateway_node_2314";"gateway_node_3994";"gateway_node_1139";"gateway_node_1374";"gateway_node_1150";"gateway_node_1275";"gateway_node_4380";"gateway_node_596";"gateway_node_1845";"gateway_node_3475";"gateway_node_1234";"gateway_node_2909";"gateway_node_1448";"gateway_node_4429";"gateway_node_637"
"gateway_node_1847";1;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;1;0;1;0;0;0
"gateway_node_1022";0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"gateway_node_1380";0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0
"gateway_node_1381";0;1;0;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0
"gateway_node_2496";0;0;1;1;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0
"gateway_node_2491";0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"gateway_node_1332";0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0
"gateway_node_2314";0;1;0;0;0;1;0;1;1;0;1;1;0;0;1;0;0;1;0;0;0;0
"gateway_node_3994";0;0;0;0;1;0;0;1;1;0;0;0;1;0;0;0;0;0;1;0;0;0
"gateway_node_1139";0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0
"gateway_node_1374";0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;1;0
"gateway_node_1150";0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;1;1;0;0;1;0;0
"gateway_node_1275";1;0;0;0;0;1;0;0;0;0;0;0;1;0;1;1;1;0;0;1;0;0
"gateway_node_4380";0;0;0;0;0;0;0;1;0;0;1;0;0;1;1;1;0;0;0;0;1;1
"gateway_node_596";0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;1;0;0;0;1
"gateway_node_1845";0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;1;1;1;0;0;0;0
"gateway_node_3475";0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0
"gateway_node_1234";1;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;1;0;1;0;0
"gateway_node_2909";1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"gateway_node_1448";0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"gateway_node_4429";1;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0
"gateway_node_637";0;0;1;0;0;0;0;1;1;0;0;0;0;1;0;1;0;0;0;0;0;1
