"";"gateway_node_850";"gateway_node_963";"gateway_node_2649";"gateway_node_3273";"gateway_node_3946";"gateway_node_4540";"gateway_node_4551";"gateway_node_4784";"gateway_node_4373";"gateway_node_1878";"gateway_node_653";"gateway_node_654";"gateway_node_1742";"gateway_node_1743";"gateway_node_1746";"gateway_node_1747";"gateway_node_1751";"gateway_node_1928";"gateway_node_1931";"gateway_node_4718";"gateway_node_1200"
"gateway_node_850";1;0;0;0;0;1;1;0;1;0;1;0;0;0;0;1;0;0;0;0;0
"gateway_node_963";0;1;0;1;0;0;0;1;1;0;0;1;1;0;0;0;0;1;1;1;0
"gateway_node_2649";1;1;1;1;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0
"gateway_node_3273";0;1;0;1;0;0;1;0;0;1;0;1;1;0;0;0;0;0;0;1;0
"gateway_node_3946";0;0;1;0;1;0;1;0;1;0;0;0;1;1;1;0;0;0;0;0;0
"gateway_node_4540";0;0;0;0;0;1;0;1;0;0;1;1;0;0;0;0;0;0;0;1;1
"gateway_node_4551";0;0;0;1;1;1;1;1;0;0;0;0;1;0;0;0;1;0;1;0;0
"gateway_node_4784";0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;1;1;0;1
"gateway_node_4373";1;1;0;1;0;1;1;0;1;0;0;0;0;0;1;1;0;1;1;0;0
"gateway_node_1878";0;1;1;1;1;1;0;1;0;1;0;1;0;0;0;0;0;0;1;0;0
"gateway_node_653";1;1;0;1;1;1;0;0;1;1;1;0;1;0;1;1;0;1;0;0;1
"gateway_node_654";1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;1;0;0;1
"gateway_node_1742";1;0;0;0;0;0;0;1;0;0;0;0;1;0;1;1;1;0;0;1;0
"gateway_node_1743";0;0;1;1;0;0;1;1;0;0;1;0;1;1;0;0;1;1;0;1;0
"gateway_node_1746";0;0;1;1;0;0;1;1;0;0;1;0;0;1;1;0;0;1;1;0;0
"gateway_node_1747";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0
"gateway_node_1751";1;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;1;0;0;0;0
"gateway_node_1928";0;1;1;1;0;0;0;1;0;1;1;1;0;1;1;0;1;1;0;0;0
"gateway_node_1931";0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0
"gateway_node_4718";0;0;0;1;1;0;0;0;1;1;1;1;0;1;1;0;0;1;1;1;1
"gateway_node_1200";0;0;0;1;0;0;0;0;0;1;1;0;1;1;0;0;1;0;1;0;1
