"";"gateway_node_2757";"gateway_node_2759";"gateway_node_2761";"gateway_node_2763";"gateway_node_2755";"gateway_node_2015";"gateway_node_4992";"gateway_node_2748";"gateway_node_2764";"gateway_node_2728";"gateway_node_4698";"gateway_node_489";"gateway_node_483";"gateway_node_3596";"gateway_node_216";"gateway_node_1466";"gateway_node_2217";"gateway_node_2700";"gateway_node_3045";"gateway_node_3277";"gateway_node_4338";"gateway_node_4374";"gateway_node_4792";"gateway_node_5144";"gateway_node_1077";"gateway_node_746";"gateway_node_4637";"gateway_node_2009";"gateway_node_2216";"gateway_node_4885";"gateway_node_184";"gateway_node_1731";"gateway_node_3457";"gateway_node_1587";"gateway_node_4479";"gateway_node_1484";"gateway_node_484";"gateway_node_4345";"gateway_node_2865";"gateway_node_5139";"gateway_node_2856";"gateway_node_5158";"gateway_node_1632";"gateway_node_2855";"gateway_node_4306";"gateway_node_3774";"gateway_node_2701";"gateway_node_1766";"gateway_node_879";"gateway_node_2459";"gateway_node_2953";"gateway_node_3727";"gateway_node_368";"gateway_node_369";"gateway_node_3396";"gateway_node_4083";"gateway_node_362";"gateway_node_881";"gateway_node_371";"gateway_node_2813";"gateway_node_3399";"gateway_node_4127";"gateway_node_4131";"gateway_node_4130";"gateway_node_187";"gateway_node_530";"gateway_node_1861";"gateway_node_1028";"gateway_node_232";"gateway_node_2483";"gateway_node_4976";"gateway_node_4979";"gateway_node_4054";"gateway_node_3010";"gateway_node_2887";"gateway_node_4942";"gateway_node_5098";"gateway_node_3553";"gateway_node_3511";"gateway_node_3514";"gateway_node_3517";"gateway_node_4712";"gateway_node_4713";"gateway_node_4307";"gateway_node_4940";"gateway_node_126";"gateway_node_1324";"gateway_node_3863";"gateway_node_3864";"gateway_node_4246";"gateway_node_4388";"gateway_node_528";"gateway_node_3865";"gateway_node_4245";"gateway_node_2022";"gateway_node_1870";"gateway_node_2595";"gateway_node_2596";"gateway_node_51";"gateway_node_1871";"gateway_node_2598";"gateway_node_1097";"gateway_node_2048";"gateway_node_100";"gateway_node_888";"gateway_node_936";"gateway_node_1947";"gateway_node_2482";"gateway_node_3583";"gateway_node_1118";"gateway_node_1564";"gateway_node_4556";"gateway_node_4329";"gateway_node_3877";"gateway_node_3166";"gateway_node_4347";"gateway_node_485";"gateway_node_490";"gateway_node_486";"gateway_node_491";"gateway_node_1565";"gateway_node_3485";"gateway_node_181";"gateway_node_1117";"gateway_node_1339";"gateway_node_2567";"gateway_node_3928";"gateway_node_4346";"gateway_node_4348"
"gateway_node_2757";1;1;1;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;1;0;1;1;1;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;1;1;0;1;0;1;1;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"gateway_node_2759";0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;1;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;1;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0
"gateway_node_2761";0;1;1;1;0;0;0;1;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;1;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;1;0;1;0;0;0;0;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;1;1;1;0;0;0;0;0;0;0;0
"gateway_node_2763";0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;1;1;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;1;0;0;0;0;1;0;1;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0
"gateway_node_2755";0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;1;1;0;0;1;1;1;0;0;0;1;1;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;1;1;0;1;0;0;1;1;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;1;1;0;1;0;0;0;0;0;1
"gateway_node_2015";0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;0;1;1;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;1;1;0;0;1;0;1;0;1
"gateway_node_4992";1;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;1;1;0;0;0;1;1;1;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;1;0;1;0;1;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0
"gateway_node_2748";0;1;0;0;0;0;0;1;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;1;1;1;1;1;0;0;0;0;0;0;0;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0
"gateway_node_2764";1;1;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0
"gateway_node_2728";1;0;0;1;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;1;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;1;1;1
"gateway_node_4698";0;0;0;1;0;0;0;1;0;0;1;0;0;1;0;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;1;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0
"gateway_node_489";0;0;0;0;0;1;0;0;0;0;1;1;1;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;1;1;0;0;0;1;1;1;1;0;0;0;1;0;0;0;0;0;0;0;1;1;1;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;1;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;1
"gateway_node_483";0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;1;0;0;1;0;1;0;1;0;0;0;0;0;1;0;1;0;0;0;0;1;1;1
"gateway_node_3596";0;0;1;0;1;1;0;0;0;0;1;0;0;1;0;0;1;1;1;0;0;1;0;1;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;1;0;1;1;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;1;1;0;0;0;0
"gateway_node_216";0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;1;0;1;0;1;0;0;0;1;0;1;0;0;0;0;0;1;0;1;1;0;0;0;0;1;0;0;0;0;0;1;0;1;1;1;1;0;0;0;0;1;1;0;1;0;0;1;0;0;0;0;1;1;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;1;1;1;0;0;0;1;1;1;0;0;0;0;0;0
"gateway_node_1466";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;1;1;0;0;1;1;0;0;0;0;0;0;1;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;0;0;1;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0
