"";"gateway_node_1972";"gateway_node_5232";"gateway_node_4001";"gateway_node_2229";"gateway_node_3574";"gateway_node_3389";"gateway_node_2987";"gateway_node_610";"gateway_node_3176";"gateway_node_4662";"gateway_node_3645";"gateway_node_3435";"gateway_node_805";"gateway_node_4598";"gateway_node_3648";"gateway_node_4779";"gateway_node_3264";"gateway_node_2423";"gateway_node_3455";"gateway_node_2775";"gateway_node_2031";"gateway_node_2029";"gateway_node_3890";"gateway_node_5063";"gateway_node_5064";"gateway_node_5062";"gateway_node_4364";"gateway_node_1935";"gateway_node_1432";"gateway_node_1541";"gateway_node_4033";"gateway_node_1155";"gateway_node_2789";"gateway_node_981";"gateway_node_2941";"gateway_node_1948";"gateway_node_3653"
"gateway_node_1972";1;1;1;1;1;1;1;0;1;1;1;0;0;0;0;0;1;1;0;1;0;1;1;1;0;0;1;1;0;1;1;1;1;0;0;0;0
"gateway_node_5232";1;1;0;0;1;0;0;0;0;1;0;1;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;1;0;1;1;0;1;1;0;0;1
"gateway_node_4001";1;1;1;1;1;0;0;0;1;1;0;1;1;1;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;1;0;1;0;0;0;1
"gateway_node_2229";0;1;1;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0;1;0;0;0;0;1;1
"gateway_node_3574";1;0;1;1;1;0;0;1;1;0;1;1;1;1;1;0;1;0;0;0;1;0;0;1;1;1;0;1;1;1;0;0;0;1;0;1;0
"gateway_node_3389";0;1;1;0;1;1;0;1;1;0;1;1;0;1;1;1;1;1;0;0;1;1;1;0;0;0;1;0;1;1;1;0;0;0;0;1;1
"gateway_node_2987";0;0;1;1;1;0;1;0;0;0;0;0;0;1;1;0;1;0;0;1;0;1;1;0;1;1;0;1;1;0;0;1;0;1;1;1;0
"gateway_node_610";0;0;0;0;0;1;1;1;1;0;0;1;1;1;0;1;0;0;1;1;1;0;0;1;1;0;0;0;1;0;0;0;0;1;1;1;0
"gateway_node_3176";0;0;0;1;0;0;1;0;1;1;0;0;0;0;1;0;0;1;1;0;0;0;1;0;0;0;1;1;1;0;1;1;0;0;1;1;0
"gateway_node_4662";1;1;0;0;0;1;0;1;1;1;0;0;0;0;1;0;0;1;0;1;1;1;0;0;1;1;0;0;0;1;0;0;1;0;0;1;0
"gateway_node_3645";0;1;1;1;0;1;1;1;1;0;1;0;1;0;0;0;1;0;0;1;0;1;0;0;1;1;0;0;1;0;1;0;1;0;1;0;0
"gateway_node_3435";1;1;1;0;0;1;0;0;0;0;0;1;1;0;0;0;1;1;0;0;0;0;0;0;1;1;1;1;0;0;1;1;1;0;1;0;1
"gateway_node_805";0;1;1;1;0;1;1;0;0;0;1;0;1;1;1;1;1;1;1;0;1;0;1;0;0;1;0;1;0;0;1;1;0;0;0;0;0
"gateway_node_4598";0;1;0;0;1;1;0;0;0;1;0;1;0;1;1;1;0;0;1;0;0;1;0;1;1;0;0;1;0;0;0;0;1;1;1;0;0
"gateway_node_3648";0;1;1;0;0;0;0;0;1;0;1;0;1;1;1;1;1;0;0;0;0;1;0;1;0;1;1;1;1;1;0;0;0;0;0;0;0
"gateway_node_4779";0;0;0;0;0;0;0;1;1;1;0;0;1;1;0;1;1;0;1;0;0;1;1;0;1;1;0;0;1;0;0;0;1;1;0;1;0
"gateway_node_3264";1;0;1;1;1;0;0;1;0;1;0;0;1;0;0;0;1;1;0;0;1;0;1;0;1;1;1;1;0;1;0;1;1;1;0;0;0
"gateway_node_2423";0;0;1;0;1;1;1;0;0;1;0;0;1;0;0;1;1;1;0;1;0;0;1;1;1;1;1;1;1;0;1;0;0;0;1;1;0
"gateway_node_3455";1;0;0;1;1;1;1;1;1;1;1;1;1;1;0;1;0;1;1;1;1;1;0;0;1;0;0;0;0;0;1;1;0;0;0;1;1
"gateway_node_2775";0;1;0;1;0;0;0;0;0;1;0;0;1;0;0;1;1;1;0;1;1;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1
"gateway_node_2031";0;1;1;1;0;1;0;1;1;1;0;1;0;0;1;1;1;0;0;1;1;0;1;0;0;1;1;0;0;1;1;1;0;0;1;1;0
"gateway_node_2029";1;0;1;1;0;0;0;1;1;1;1;0;1;0;1;0;1;1;0;0;0;1;0;1;0;0;0;1;0;1;1;1;1;1;0;1;0
"gateway_node_3890";0;1;1;1;0;0;1;0;1;1;1;0;1;1;0;1;0;0;1;1;1;0;1;0;1;0;1;1;0;1;1;0;1;1;1;1;0
"gateway_node_5063";1;0;1;0;0;1;0;0;0;1;0;1;0;1;1;1;1;0;1;0;0;0;0;1;1;0;1;0;0;0;0;0;0;1;1;0;0
"gateway_node_5064";1;1;1;1;0;0;0;0;1;0;0;0;0;1;0;1;1;1;1;0;1;1;1;0;1;1;0;0;0;0;0;1;0;0;1;1;0
"gateway_node_5062";0;1;0;0;1;1;1;1;1;1;1;0;0;0;1;0;0;0;0;0;0;0;1;1;1;1;0;1;1;1;1;0;1;1;1;0;1
"gateway_node_4364";1;1;1;1;1;1;0;1;1;1;1;0;1;1;1;0;1;1;0;0;1;0;1;0;1;1;1;1;0;0;0;0;0;1;0;1;1
"gateway_node_1935";1;0;1;1;0;0;0;1;0;0;1;1;1;1;0;0;0;0;0;0;1;1;0;1;1;1;1;1;1;0;1;0;1;0;0;0;1
"gateway_node_1432";1;1;0;1;1;1;1;0;1;1;0;0;1;1;0;1;0;0;1;1;1;1;1;1;0;0;1;0;1;1;0;1;0;1;1;0;1
"gateway_node_1541";1;0;1;0;0;0;1;0;1;0;1;0;1;1;1;1;0;1;1;0;1;1;0;1;1;1;1;1;1;1;1;1;0;0;0;1;0
"gateway_node_4033";1;1;1;0;0;1;0;0;0;1;1;0;0;1;1;1;0;1;0;0;0;1;0;0;0;1;1;0;1;0;1;1;0;0;0;0;1
"gateway_node_1155";1;1;0;0;0;1;1;0;0;1;0;0;1;0;1;0;1;0;0;1;1;1;0;1;1;1;0;0;0;0;1;1;0;0;1;1;1
"gateway_node_2789";0;0;1;1;0;1;0;0;0;0;1;1;0;1;0;0;0;0;1;0;1;1;0;0;1;1;1;1;0;1;0;1;1;1;0;1;0
"gateway_node_981";0;0;1;0;1;0;1;0;1;0;0;1;0;0;0;0;0;1;1;0;0;1;1;1;0;0;0;1;0;0;1;0;0;1;0;0;1
"gateway_node_2941";1;1;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;1;1;0;1;1;1;1;1;0
"gateway_node_1948";1;1;1;0;1;1;1;1;0;0;1;1;1;0;0;1;1;0;1;1;0;0;0;0;0;1;1;1;0;0;0;1;0;0;1;1;0
"gateway_node_3653";0;0;0;1;1;1;1;0;0;0;1;0;1;1;1;1;1;1;1;1;0;1;1;1;0;1;0;1;1;0;0;1;1;1;1;0;1
