"";"gateway_node_5232";"gateway_node_2869";"gateway_node_3574";"gateway_node_4001";"gateway_node_4804";"gateway_node_1972";"gateway_node_1858";"gateway_node_727";"gateway_node_3453";"gateway_node_1730";"gateway_node_4601";"gateway_node_3414";"gateway_node_2160";"gateway_node_574";"gateway_node_4779";"gateway_node_2411";"gateway_node_2449";"gateway_node_249";"gateway_node_2300";"gateway_node_4808";"gateway_node_355";"gateway_node_4409";"gateway_node_2995";"gateway_node_1670";"gateway_node_3643";"gateway_node_3890";"gateway_node_667";"gateway_node_829";"gateway_node_5063";"gateway_node_2784";"gateway_node_3629";"gateway_node_4588";"gateway_node_1436";"gateway_node_4592";"gateway_node_839";"gateway_node_33";"gateway_node_1156";"gateway_node_2769";"gateway_node_2384";"gateway_node_2117"
"gateway_node_5232";1;1;1;1;1;0;1;1;1;0;0;0;0;0;1;1;0;0;0;1;0;1;0;0;1;1;0;0;0;0;0;1;1;0;0;1;1;1;0;0
"gateway_node_2869";0;1;0;0;1;0;1;0;1;0;1;0;0;1;0;1;0;1;0;0;0;1;1;0;1;1;0;0;0;1;0;1;0;0;0;1;1;0;0;0
"gateway_node_3574";1;0;1;0;0;1;0;1;1;1;1;1;1;0;0;0;0;1;1;0;1;1;1;0;0;0;0;0;1;1;0;1;1;0;0;1;0;0;1;1
"gateway_node_4001";1;1;1;1;0;0;1;0;1;1;0;0;0;1;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0
"gateway_node_4804";0;0;1;1;1;1;0;0;1;1;1;1;1;0;0;1;0;0;1;0;0;1;1;1;0;0;0;1;0;0;1;1;0;1;0;1;0;0;0;0
"gateway_node_1972";0;0;0;0;1;1;1;1;1;1;0;1;1;0;1;0;0;1;1;0;1;1;0;0;0;0;0;1;1;1;1;1;1;1;0;0;1;1;0;1
"gateway_node_1858";0;0;1;1;0;0;1;0;0;1;0;1;1;1;1;1;1;1;0;1;0;0;0;0;1;0;0;1;0;0;1;1;1;0;1;0;0;0;0;0
"gateway_node_727";1;1;0;1;1;1;0;1;0;0;1;0;0;1;0;0;0;0;1;1;1;1;1;0;1;0;0;0;1;0;1;0;0;1;0;1;1;0;0;0
"gateway_node_3453";1;1;0;0;1;0;0;0;1;0;1;1;1;1;1;0;0;0;0;1;0;0;1;0;1;1;0;0;0;0;1;1;0;0;0;0;0;0;1;1
"gateway_node_1730";1;1;0;1;1;0;0;0;0;1;0;1;1;1;1;0;1;1;0;0;0;0;1;0;0;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0
"gateway_node_4601";0;1;0;0;0;0;0;0;0;1;1;1;1;0;0;0;1;1;1;1;1;0;1;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;0
"gateway_node_3414";1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;1;0;0;1;0;1;0;1;0;0;1;1;1;0;0;0;1;1;0;0;0;1
"gateway_node_2160";0;1;1;1;0;1;0;1;1;0;0;1;1;1;0;1;1;0;1;1;0;0;1;1;1;1;0;0;0;1;0;1;0;1;1;1;0;1;0;1
"gateway_node_574";1;0;0;0;1;1;1;0;1;0;1;0;1;1;1;1;0;1;0;0;0;1;0;0;1;1;0;1;1;1;0;1;1;1;0;0;0;1;1;1
"gateway_node_4779";1;0;0;1;1;0;1;0;0;0;1;1;0;1;1;0;1;1;1;0;0;0;1;1;1;1;0;0;1;1;0;0;0;0;0;1;0;1;1;0
"gateway_node_2411";0;1;0;0;0;1;0;0;1;1;0;1;1;1;0;1;1;0;1;0;1;0;1;0;1;1;0;1;0;1;1;0;0;0;0;1;1;0;1;0
"gateway_node_2449";0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;1;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;1;0;1;0;0;1
"gateway_node_249";0;1;1;1;1;0;1;0;0;0;0;0;1;0;0;0;1;1;0;1;0;1;1;0;0;0;1;0;0;1;1;0;1;1;0;0;1;1;1;0
"gateway_node_2300";0;1;1;0;0;1;1;0;0;1;0;0;0;1;0;1;0;1;1;0;0;0;0;1;1;0;1;1;1;1;1;0;0;0;0;1;0;1;1;0
"gateway_node_4808";1;0;1;0;1;1;0;0;1;0;1;1;1;0;0;1;0;1;1;1;0;0;1;1;0;1;0;1;0;1;1;0;0;0;1;0;0;0;0;0
"gateway_node_355";1;1;1;0;0;1;1;1;1;1;1;1;0;1;0;1;0;0;0;0;1;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1
"gateway_node_4409";1;0;1;0;0;0;1;1;0;1;1;0;1;1;0;0;0;0;1;0;1;1;0;0;0;0;1;0;0;1;1;0;1;0;1;0;0;0;0;0
"gateway_node_2995";0;1;1;1;1;0;0;0;1;1;0;1;0;1;0;0;0;0;1;1;1;0;1;0;0;1;0;1;0;0;0;0;1;1;0;0;1;0;0;0
"gateway_node_1670";0;1;1;1;0;1;1;1;1;1;0;1;0;0;0;0;0;0;0;1;1;0;1;1;0;0;1;0;1;0;1;0;0;0;0;1;0;1;1;0
