"";"gateway_node_5232";"gateway_node_4777";"gateway_node_1033";"gateway_node_3574";"gateway_node_643";"gateway_node_2433";"gateway_node_1717";"gateway_node_4001";"gateway_node_4361";"gateway_node_3817";"gateway_node_1972";"gateway_node_4779";"gateway_node_1730";"gateway_node_4808";"gateway_node_3497";"gateway_node_4135";"gateway_node_2411";"gateway_node_1056";"gateway_node_1597";"gateway_node_1670";"gateway_node_4041";"gateway_node_13";"gateway_node_3614";"gateway_node_2437";"gateway_node_2995";"gateway_node_4694";"gateway_node_3890";"gateway_node_668";"gateway_node_827";"gateway_node_826";"gateway_node_829";"gateway_node_1099";"gateway_node_5120";"gateway_node_5063";"gateway_node_1424";"gateway_node_2784";"gateway_node_3629";"gateway_node_4400";"gateway_node_4592";"gateway_node_1156";"gateway_node_2384";"gateway_node_2115";"gateway_node_1240";"gateway_node_3959";"gateway_node_3957";"gateway_node_3158"
"gateway_node_5232";1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;1;0;0;1;0;0;1;1;1;0;1;1;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;1;0
"gateway_node_4777";1;1;0;0;0;1;1;0;0;1;1;1;0;1;0;1;1;0;0;1;0;1;1;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;0
"gateway_node_1033";0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;1;1;1;0;0;1;0;1;1;0;0;0;0;0;0;0;0;1
"gateway_node_3574";0;1;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;1;0;1;0;0;1;0;0;1;0;0;0;1;1;0;0;0;1;0;0;0;0;0;1
"gateway_node_643";1;0;0;0;1;1;0;1;0;1;1;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;1;1;1;1;0;0;0;1;0;1;0;0;1;0;1;0;1;0;0;1
"gateway_node_2433";0;0;1;0;1;1;0;0;1;0;1;1;0;0;1;0;1;0;0;0;0;0;1;1;0;0;0;0;1;0;1;0;1;0;0;0;0;1;1;1;1;1;0;0;1;0
"gateway_node_1717";1;1;1;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;1
"gateway_node_4001";0;0;1;0;0;0;1;1;1;0;0;0;0;0;0;1;1;1;0;1;0;0;1;0;0;1;0;0;1;1;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1
"gateway_node_4361";1;0;0;0;1;0;1;0;1;0;0;0;0;1;0;1;0;0;0;1;0;1;1;1;0;1;1;1;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;1;0;1
"gateway_node_3817";0;0;0;0;0;0;1;0;0;1;0;0;1;0;1;0;0;1;0;0;0;0;1;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;1;0;1
"gateway_node_1972";1;0;0;1;1;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;1;1;1;1;0;0;1;0;0;1;1;0;1;0;1;1
"gateway_node_4779";0;0;1;0;1;1;0;0;1;1;0;1;0;1;1;0;0;1;0;0;1;0;0;0;1;0;1;0;1;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0
"gateway_node_1730";1;1;0;0;0;1;0;1;0;1;0;0;1;0;0;0;1;1;1;0;0;1;1;1;0;1;0;0;0;1;0;1;0;1;1;0;1;0;0;1;0;0;0;1;1;0
"gateway_node_4808";1;0;0;0;1;0;0;1;0;0;1;0;0;1;1;0;0;1;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;1;1
"gateway_node_3497";0;0;1;0;1;1;0;0;0;1;0;0;1;0;1;0;0;0;1;0;0;0;0;1;0;1;0;1;1;0;1;0;0;1;0;0;0;1;0;1;1;1;1;0;0;0
