"";"gateway_node_1309";"gateway_node_4389";"gateway_node_4990";"gateway_node_4154";"gateway_node_4181";"gateway_node_1580";"gateway_node_3434";"gateway_node_3812";"gateway_node_143";"gateway_node_173";"gateway_node_1524";"gateway_node_3427";"gateway_node_723";"gateway_node_748";"gateway_node_5191";"gateway_node_1209";"gateway_node_4164";"gateway_node_722";"gateway_node_5029";"gateway_node_1778";"gateway_node_1984";"gateway_node_3029";"gateway_node_1352";"gateway_node_3206";"gateway_node_5008";"gateway_node_2260";"gateway_node_524";"gateway_node_2637";"gateway_node_4840";"gateway_node_812";"gateway_node_1965";"gateway_node_689";"gateway_node_5130";"gateway_node_3748";"gateway_node_3406";"gateway_node_3757";"gateway_node_291";"gateway_node_111";"gateway_node_4634";"gateway_node_1946";"gateway_node_585";"gateway_node_1008";"gateway_node_350";"gateway_node_448";"gateway_node_3841";"gateway_node_444";"gateway_node_325";"gateway_node_521";"gateway_node_2665";"gateway_node_383";"gateway_node_2773";"gateway_node_592";"gateway_node_4768";"gateway_node_4300";"gateway_node_1365";"gateway_node_182"
"gateway_node_1309";1;0;0;1;0;0;0;0;1;1;0;1;0;0;0;1;1;0;0;0;0;0;1;0;0;1;0;1;0;1;0;0;1;1;1;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0
"gateway_node_4389";0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;1;0;1;0;1
"gateway_node_4990";1;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;1;1;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0
"gateway_node_4154";0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;1;0;0;0;0;0;1;0;1;1;0;1;1;0;1;0;1;0;1;0;0;0;0;0;0;0
"gateway_node_4181";1;0;0;0;1;0;0;1;0;1;0;1;0;1;0;0;0;0;0;1;0;1;0;1;0;1;0;1;0;0;1;0;1;0;0;1;0;1;0;1;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0
"gateway_node_1580";0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0
"gateway_node_3434";1;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;1;0;1;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;1
"gateway_node_3812";0;0;0;0;0;1;1;1;0;1;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;1;1;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0
"gateway_node_143";0;1;1;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;1;0;1;0;0;0;0;1;0;1;1;1;0;1;0;0;0;0;0
"gateway_node_173";0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0
"gateway_node_1524";1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"gateway_node_3427";1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;1
"gateway_node_723";0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"gateway_node_748";1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"gateway_node_5191";0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;1;0;1;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
"gateway_node_1209";0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;1;1;1;1;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;1;0;0;0
"gateway_node_4164";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;1;0;0
"gateway_node_722";0;0;0;1;1;0;1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;1;1;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0
"gateway_node_5029";0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0
"gateway_node_1778";1;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0
"gateway_node_1984";0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;1;0;0;1;0;0;1;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;1;1
"gateway_node_3029";0;0;1;1;1;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;1;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0
"gateway_node_1352";0;1;0;1;0;0;0;1;0;1;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;1;1;0;1;1;0;0;0;0;0;0;1;1;0;1;1;1;1;1;0;0;0;0;0;1;0;0;0;0;0
"gateway_node_3206";0;1;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0
"gateway_node_5008";1;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
"gateway_node_2260";0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1
"gateway_node_524";0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1
"gateway_node_2637";0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0
"gateway_node_4840";0;0;0;1;0;0;1;1;0;1;1;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0
"gateway_node_812";0;1;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;1;0;1;1;0;0;0;1;1;0;0;0;0;1;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0
"gateway_node_1965";0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0
"gateway_node_689";1;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;1;0;1;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"gateway_node_5130";1;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;1;0;1;0;1;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;1;0;1;1;0;1
"gateway_node_3748";1;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;1;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0
"gateway_node_3406";0;0;0;1;1;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;1;0;1;0;1;0;0;0;0;1;1
"gateway_node_3757";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"gateway_node_291";0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;1;0
"gateway_node_111";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;1;1;0;0;0;0;0;1;0;0;0;0;1;1;1;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0
"gateway_node_4634";0;1;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;1;1;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;1;1
"gateway_node_1946";0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;1;0;1;1;0;0;1;0;0;0;1;0;0;0;0;0
"gateway_node_585";0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
"gateway_node_1008";0;1;0;0;0;0;1;0;1;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;1;1;1;1;0;0;1;0;0;1;0;0;0;0;0
"gateway_node_350";1;0;1;1;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;1;1;1;0
"gateway_node_448";0;1;0;1;0;0;0;1;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;1;0;1;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;0;0;0;0;0;1;0
