"";"mangal_node_0090";"mangal_node_0255";"mangal_node_0262";"mangal_node_0263";"mangal_node_0295";"mangal_node_0232";"mangal_node_0346";"mangal_node_0234";"mangal_node_0236";"mangal_node_0268";"mangal_node_0330";"mangal_node_0239";"mangal_node_0341";"mangal_node_0270";"mangal_node_0392";"mangal_node_0271";"mangal_node_0343";"mangal_node_0272";"mangal_node_0345";"mangal_node_0242";"mangal_node_0243";"mangal_node_0245";"mangal_node_0278";"mangal_node_0279";"mangal_node_0314";"mangal_node_0385";"mangal_node_0400";"mangal_node_0284";"mangal_node_0285";"mangal_node_0287";"mangal_node_0401";"mangal_node_0248";"mangal_node_0251";"mangal_node_0347";"mangal_node_0319";"mangal_node_0304";"mangal_node_0290";"mangal_node_0353"
"mangal_node_0090";1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0
"mangal_node_0255";0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;1
"mangal_node_0262";0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0
"mangal_node_0263";0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;1;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0
"mangal_node_0295";0;0;0;0;1;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"mangal_node_0232";0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"mangal_node_0346";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0
"mangal_node_0234";0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"mangal_node_0236";0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"mangal_node_0268";0;0;0;0;1;1;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0
"mangal_node_0330";1;0;0;0;0;0;0;0;1;0;1;0;0;1;0;1;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0
"mangal_node_0239";1;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
"mangal_node_0341";0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0
"mangal_node_0270";1;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0
"mangal_node_0392";0;0;0;0;0;0;1;0;1;0;0;0;0;1;1;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"mangal_node_0271";0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;1;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0
"mangal_node_0343";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;1;1;0;0;0;1;0;0;0;0;0;0;0;1;0
"mangal_node_0272";1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;1;1;0;1;1;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0
"mangal_node_0345";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"mangal_node_0242";0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"mangal_node_0243";0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0
"mangal_node_0245";0;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0
"mangal_node_0278";0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;1;0;0;1;0
"mangal_node_0279";0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"mangal_node_0314";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;1;1;0;0;0;0;0;0;0;1;1;0;0;0
"mangal_node_0385";0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;1
"mangal_node_0400";0;0;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;1;0;1;0;0;1;0;0;0;0;0
"mangal_node_0284";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0
"mangal_node_0285";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0
"mangal_node_0287";0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0
"mangal_node_0401";0;0;1;1;0;1;1;0;0;0;0;0;0;1;0;1;0;0;1;0;0;1;0;0;1;1;0;1;0;1;1;0;0;0;0;0;0;0
"mangal_node_0248";0;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0
"mangal_node_0251";1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0
"mangal_node_0347";0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;1;1;0;0;0;0
"mangal_node_0319";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0
"mangal_node_0304";0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;1;0;0
"mangal_node_0290";1;1;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0
"mangal_node_0353";0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
