"";"gateway_node_5";"gateway_node_7";"gateway_node_1271";"gateway_node_2752";"gateway_node_2737";"gateway_node_2755";"gateway_node_2015";"gateway_node_693";"gateway_node_3945";"gateway_node_4485";"gateway_node_2760";"gateway_node_2762";"gateway_node_1363";"gateway_node_4565";"gateway_node_1731";"gateway_node_3457";"gateway_node_1587";"gateway_node_4479";"gateway_node_746";"gateway_node_1483";"gateway_node_1484";"gateway_node_423";"gateway_node_4214";"gateway_node_2014";"gateway_node_2010";"gateway_node_4698";"gateway_node_2228";"gateway_node_216";"gateway_node_1112";"gateway_node_2009";"gateway_node_2218";"gateway_node_2305";"gateway_node_733";"gateway_node_2459";"gateway_node_2953";"gateway_node_3463";"gateway_node_3727";"gateway_node_365";"gateway_node_368";"gateway_node_2816";"gateway_node_3398";"gateway_node_4083";"gateway_node_2821";"gateway_node_3397";"gateway_node_2572";"gateway_node_489";"gateway_node_2020";"gateway_node_4249";"gateway_node_5186";"gateway_node_5187";"gateway_node_1466";"gateway_node_2217";"gateway_node_2700";"gateway_node_3064";"gateway_node_3277";"gateway_node_3815";"gateway_node_4338";"gateway_node_4374";"gateway_node_4821";"gateway_node_1077";"gateway_node_1111";"gateway_node_760";"gateway_node_4637";"gateway_node_2216";"gateway_node_4822";"gateway_node_4379";"gateway_node_5169";"gateway_node_3473";"gateway_node_4127";"gateway_node_3469";"gateway_node_4767";"gateway_node_530";"gateway_node_1861";"gateway_node_1028";"gateway_node_232";"gateway_node_2483";"gateway_node_4976";"gateway_node_987";"gateway_node_1289";"gateway_node_4979";"gateway_node_4932";"gateway_node_3010";"gateway_node_4769";"gateway_node_3627";"gateway_node_3767";"gateway_node_4942";"gateway_node_5101";"gateway_node_5104";"gateway_node_5136";"gateway_node_5137";"gateway_node_5139";"gateway_node_599";"gateway_node_1486";"gateway_node_2392";"gateway_node_3553";"gateway_node_3362";"gateway_node_3511";"gateway_node_3517";"gateway_node_3515";"gateway_node_4713";"gateway_node_382";"gateway_node_3310";"gateway_node_3311";"gateway_node_2671";"gateway_node_3198";"gateway_node_3200";"gateway_node_496";"gateway_node_3860";"gateway_node_3864";"gateway_node_4247";"gateway_node_4798";"gateway_node_4388";"gateway_node_528";"gateway_node_1870";"gateway_node_2596";"gateway_node_4920";"gateway_node_51";"gateway_node_2049";"gateway_node_3103";"gateway_node_3104";"gateway_node_1051";"gateway_node_2048";"gateway_node_933";"gateway_node_936";"gateway_node_4649";"gateway_node_1947";"gateway_node_1262";"gateway_node_1118";"gateway_node_1564";"gateway_node_4556";"gateway_node_646";"gateway_node_3584";"gateway_node_3166";"gateway_node_4347";"gateway_node_1565";"gateway_node_181";"gateway_node_1117";"gateway_node_1339";"gateway_node_2567";"gateway_node_3928";"gateway_node_4346";"gateway_node_4348"
"gateway_node_5";1;1;0;0;0;0;0;0;0;0;1;0;0;1;0;1;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;1;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;1;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;1;1;0;1;0;0;1;1;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;1
"gateway_node_7";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0
"gateway_node_1271";1;1;1;0;0;0;1;0;0;0;0;1;1;1;0;0;0;0;1;0;1;1;1;0;0;1;0;0;0;0;0;1;0;1;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;1;0;0;0;1;0;0;1;1;0;0;1;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;1;0;0
"gateway_node_2752";0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1
"gateway_node_2737";1;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;1;1;1;1;1;0;1;0;0;1;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;1;1;1;0;0;0;1;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;1;1;1;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0
"gateway_node_2755";0;0;0;0;0;1;0;0;0;0;1;0;1;0;1;0;0;1;0;1;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"gateway_node_2015";0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;1;1;1;0;0;0;0;1;1;0;1;0;1;0;1;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"gateway_node_693";0;0;1;0;1;0;1;1;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;1;1;0;1;1;1;0;0;0;1;1;1;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"gateway_node_3945";0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;1;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;1;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;1;0;0;0
"gateway_node_4485";0;0;0;0;0;1;0;0;0;1;1;0;0;1;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;1;0;1;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;1;0;0;1;1;0;1;0;0;0;0;0;0;1;0;1;0;0;1;0;1;0;0;0;1;0;1;1;0;1;0;0;0;0;0;0;0
