"";"mangal_node_0582";"mangal_node_0583";"mangal_node_0584";"mangal_node_0585";"mangal_node_0586";"mangal_node_0587";"mangal_node_0090";"mangal_node_0516";"mangal_node_0425";"mangal_node_0588";"mangal_node_0589";"mangal_node_0590";"mangal_node_0591";"mangal_node_0592";"mangal_node_0593";"mangal_node_0561";"mangal_node_0524";"mangal_node_0458";"mangal_node_0475";"mangal_node_0469";"mangal_node_0578";"mangal_node_0579";"mangal_node_0565";"mangal_node_0594"
"mangal_node_0582";1;0;0;0;0;0;0;1;0;0;1;1;1;0;0;1;0;0;1;1;0;0;1;1
"mangal_node_0583";0;1;0;0;1;1;1;1;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1
"mangal_node_0584";0;0;1;0;0;1;0;0;0;0;1;1;1;0;0;0;0;0;0;1;0;1;1;1
"mangal_node_0585";0;0;1;1;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;1;1;0;1
"mangal_node_0586";0;0;0;0;1;0;0;1;0;1;0;0;0;1;0;0;0;1;1;0;0;0;0;1
"mangal_node_0587";0;0;0;0;1;1;0;0;1;0;1;0;0;0;1;1;1;0;0;0;0;1;0;0
"mangal_node_0090";1;1;0;0;0;1;1;1;1;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0
"mangal_node_0516";0;1;0;0;0;1;1;1;0;0;1;1;1;1;0;0;0;0;0;1;1;0;0;0
"mangal_node_0425";0;1;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;1;1
"mangal_node_0588";1;1;1;1;0;0;1;1;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;1
"mangal_node_0589";0;1;0;1;1;0;0;1;1;0;1;0;0;0;0;1;0;1;0;0;0;0;0;1
"mangal_node_0590";1;0;1;1;0;0;0;0;0;0;1;1;0;0;1;1;0;0;0;0;0;1;1;1
"mangal_node_0591";0;0;0;1;1;0;0;0;0;0;1;0;1;0;0;1;0;1;0;0;0;0;0;0
"mangal_node_0592";0;0;0;0;0;0;1;0;1;0;1;0;0;1;0;1;1;0;0;0;1;0;0;0
"mangal_node_0593";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0
"mangal_node_0561";1;0;1;1;1;0;0;0;0;0;1;0;1;1;0;1;1;0;1;1;0;1;0;0
"mangal_node_0524";1;1;0;1;0;0;0;1;0;0;0;0;0;0;0;1;1;1;0;1;0;0;1;0
"mangal_node_0458";1;0;0;0;0;1;0;0;0;0;1;0;0;1;1;1;1;1;1;0;1;0;0;0
"mangal_node_0475";0;0;1;0;0;0;0;0;1;0;1;1;0;1;0;0;1;1;1;1;0;0;0;0
"mangal_node_0469";0;1;1;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;1;1;1;1;0;0
"mangal_node_0578";0;0;1;1;0;0;0;0;0;1;0;0;1;0;1;1;1;1;1;1;1;0;0;1
"mangal_node_0579";0;1;0;0;1;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;1;0;0
"mangal_node_0565";0;1;0;0;1;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0
"mangal_node_0594";0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;1;0;0;1;0;1;0;1
