"";"gateway_node_331";"gateway_node_347";"gateway_node_346";"gateway_node_387";"gateway_node_509";"gateway_node_1217";"gateway_node_1726";"gateway_node_3909";"gateway_node_3197";"gateway_node_4026";"gateway_node_4786";"gateway_node_1121";"gateway_node_1340";"gateway_node_2246";"gateway_node_2348";"gateway_node_3446";"gateway_node_3447";"gateway_node_3451";"gateway_node_3970";"gateway_node_4077";"gateway_node_4226";"gateway_node_4469";"gateway_node_5211";"gateway_node_4373";"gateway_node_5075";"gateway_node_2897";"gateway_node_4830";"gateway_node_80";"gateway_node_81";"gateway_node_497";"gateway_node_1094";"gateway_node_1283";"gateway_node_1295";"gateway_node_1297";"gateway_node_1299";"gateway_node_1398";"gateway_node_1649";"gateway_node_1651";"gateway_node_1744";"gateway_node_1746";"gateway_node_1748";"gateway_node_1881";"gateway_node_1891";"gateway_node_2092";"gateway_node_2097";"gateway_node_2101";"gateway_node_2104";"gateway_node_2984";"gateway_node_3212";"gateway_node_3220";"gateway_node_3343";"gateway_node_3905";"gateway_node_3907";"gateway_node_4318";"gateway_node_4721";"gateway_node_4743";"gateway_node_4745";"gateway_node_4764";"gateway_node_518";"gateway_node_1650";"gateway_node_1927";"gateway_node_2088";"gateway_node_2149";"gateway_node_3001";"gateway_node_3228";"gateway_node_3238";"gateway_node_3244";"gateway_node_3342";"gateway_node_3904";"gateway_node_4720";"gateway_node_1895";"gateway_node_4722";"gateway_node_82";"gateway_node_1296";"gateway_node_1474";"gateway_node_2093";"gateway_node_3225";"gateway_node_3247";"gateway_node_255";"gateway_node_1302";"gateway_node_4323";"gateway_node_3230";"gateway_node_385";"gateway_node_1197";"gateway_node_2338";"gateway_node_2358";"gateway_node_4183";"gateway_node_4223"
"gateway_node_331";1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"gateway_node_347";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"gateway_node_346";0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"gateway_node_387";0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"gateway_node_509";1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0
"gateway_node_1217";0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"gateway_node_1726";0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"gateway_node_3909";0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"gateway_node_3197";0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"gateway_node_4026";0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
