"";"mangal_node_4300";"mangal_node_4301";"mangal_node_4037";"mangal_node_3616";"mangal_node_0646";"mangal_node_0664";"mangal_node_0090";"mangal_node_4302";"mangal_node_4303";"mangal_node_4304";"mangal_node_4305";"mangal_node_0493";"mangal_node_4297";"mangal_node_4298";"mangal_node_0038";"mangal_node_4299";"mangal_node_0467";"mangal_node_4097";"mangal_node_4306";"mangal_node_4307";"mangal_node_4308";"mangal_node_0448"
"mangal_node_4300";1;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0
"mangal_node_4301";0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"mangal_node_4037";1;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"mangal_node_3616";0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"mangal_node_0646";0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"mangal_node_0664";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"mangal_node_0090";0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"mangal_node_4302";0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"mangal_node_4303";0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0
"mangal_node_4304";0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0
"mangal_node_4305";1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"mangal_node_0493";0;0;0;0;0;0;0;0;0;0;1;1;1;0;1;1;0;0;0;0;0;0
"mangal_node_4297";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"mangal_node_4298";0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"mangal_node_0038";0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0
"mangal_node_4299";0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
"mangal_node_0467";1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1
"mangal_node_4097";0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0
"mangal_node_4306";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0
"mangal_node_4307";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;0;0
"mangal_node_4308";0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;1;1;0
"mangal_node_0448";0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
