"network_id";"original_id";"study_common";"network_db";"network_year";"network_lat";"network_lon";"network_interaction";"network_main_animal_taxa";"network_main_animal_taxa_2";"network_richness";"network_topology_type";"habitat_type";"tavg";"tmax";"tmin";"prec";"bio_01";"bio_02";"bio_03";"bio_04";"bio_05";"bio_06";"bio_07";"bio_08";"bio_09";"bio_10";"bio_11";"bio_12";"bio_13";"bio_14";"bio_15";"bio_16";"bio_17";"bio_18";"bio_19";"human_footprint_1993";"human_footprint_2009";"network_sampling_intensity"
"AI22_915";"AI22_915";"AI22_915";"AI22";2018;-23,529;-46,222;"herbivory";"Invertebrates";"Invertebrates";22;"bipartite";"Anthropic habitats";18,4607499567668;22,7379805555099;14,8071236239597;105,301723609082;18,4680829238892;9,25266681671143;56,3534038162231;246,260944976807;25,9889999580383;9,57000027656555;16,4189996910095;21,3226655387878;15,401166934967;21,4224994277954;15,401166934967;1523,52;233,31;42,8;55,6821073532105;653,61;139,8;642,61;139,8;42,1119178621178;43,0007441232093;0,428174419288838
"AI22_1168";"AI22_1168";"AI22_1168";"AI22";2017;-30,11;-51,08;"herbivory";"Invertebrates";"Invertebrates";31;"bipartite";"Forest";19,2187499443688;23,1528268507198;15,853826936278;105,010360248758;19,2229163169859;8,51549979209905;47,572625999451;352,680020141601;28,3099992752073;10,4099996566771;17,8999996185303;19,2706664466777;20,67616607666;23,4496675682066;14,9039997196196;1516,93000000001;142;98,2000000000017;9,98422332763672;399,530000000001;345,500000000002;398,9;393,770000000002;35,4180151943914;35,8027961813037;0,330520343517599
"AI22_1137";"AI22_1137";"AI22_1137";"AI22";2017;-30,105;-51,095;"herbivory";"Invertebrates";"Invertebrates";21;"bipartite";"Forest";19,3145833571752;23,2591988312892;15,9363415365254;105,100674914999;19,316250038147;8,54333348274231;47,6350625991821;353,261711120606;28,4299997329712;10,4949999809265;17,9349997520447;23,5458332061768;20,7791667938232;23,5458332061768;14,9741666793823;1518;142,55;98;9,87607517242432;401,75;345,9;401,75;391,75;33,3575946220552;33,3575946220552;0,404519917477945
"AI22_745";"AI22_745";"Nery_2018";"AI22";2016;-23,128;-46,682;"pollination";"Invertebrates";"Invertebrates";29;"bipartite";"Forest";18,2471665755906;22,8267818831784;14,3271390996047;93,5654058372248;18,2502911567686;9,91625014305117;60,0984858322145;233,179394378664;25,5279999351499;9,02800002098059;16,5;20,8356657218931;15,2556668567655;20,9039999198912;15,2556668567655;1348,08;230,810000000002;30;63,7201725387579;625,630000000003;111,189999999998;583,910000000001;111,189999999998;12,3137443457895;14,7715315081907;0,376968517462526
"AI22_838";"AI22_838";"Nery_2018";"AI22";2016;-23,248;-46,528;"pollination";"Invertebrates";"Invertebrates";39;"bipartite";"Forest";16,8183333396912;21,164871773353;13,0991575349818;98,3388241765351;16,8220833778381;9,40999999046326;58,6292385101318;232,226651763916;23,9649998664856;7,91500008106232;16,049999332428;19,4624999046326;13,8824996948242;19,5550003051758;13,8824996948242;1424;247,7;30,4;63,8584655761719;668,35;117,35;618,5;117,35;6,30163680308744;11,7675189353488;0,342405285167073
"AI22_936";"AI22_936";"AI22_936";"AI22";2016;-23,679;-46,1;"pollination";"Invertebrates";"Invertebrates";44;"bipartite";"Shrubland";17,7070833762485;21,6947758350615;14,2826328192;146,822299468702;17,7033337593077;8,64750008583071;54,233344078064;249,487886810303;24,9349997520445;8,98999996185281;15,9449997901917;20,6041659355162;14,5950002193449;20,7366666793822;14,5950002193449;2148,65000000001;288,300000000002;81,5499999999996;42,5719463348387;829,300000000005;270,750000000004;809,750000000004;270,750000000004;17,2619436879287;21,5566608940738;0,312916389258643
"AI22_927";"AI22_927";"AI22_927";"AI22";2016;-23,571;-46,096;"pollination";"Invertebrates";"Invertebrates";41;"bipartite";"Forest";18,0195832888285;22,2261216726058;14,4200503571129;122,047717021237;18,0231247901916;9,1070831298828;55,379250907898;250,101815795898;25,4099996566772;8,96499986648555;16,4449997901916;20,9183328628539;14,8858333587646;21,0258331298828;14,8858333587646;1776,05000000001;257,300000000001;57,7500000000021;49,1415657043454;727,550000000002;196,500000000003;710,450000000003;196,500000000003;18,4128851425767;21,4569187753418;0,296808419852332
"AI22_1072";"AI22_1072";"AI22_1072";"AI22";2016;-28,69;-49,359;"pollination";"Invertebrates";"Invertebrates";25;"bipartite";"Forest";19,5026667284966;24,4445897548015;15,2635184168292;95,8573849933414;19,5007918548584;10,7112498188018;52,5833642196653;334,52108947754;29,4209996986389;9,05100019454964;20,3699995040893;23,5793330955506;16,0006666564942;23,5793330955506;15,4088333034516;1378,64999999999;169,709999999998;78,3000000000004;26,148196754455;472,489999999994;249,810000000001;472,489999999994;263,690000000001;38,02404906648;38,9967388961668;0,375533808099405
"AI22_1128";"AI22_1128";"AI22_1128";"AI22";2016;-30,101;-51,115;"pollination";"Invertebrates";"Invertebrates";39;"bipartite";"Forest";19,4341664870581;23,3826281810419;16,0586996171065;104,20836628568;19,4393746376038;8,5445831298828;47,4830984115601;353,936065673828;28,6050004005433;10,6100003242494;17,9950000762939;23,6758336067201;20,9074996948243;23,6758336067201;15,0916663646699;1504,24999999999;140,899999999999;97,8999999999992;9,712870836258;400,149999999997;343,749999999998;400,149999999997;386,399999999999;31,383825079502;31,383825079502;0,312771621085612
"AI22_1136";"AI22_1136";"AI22_1136";"AI22";2016;-30,103;-51,093;"pollination";"Invertebrates";"Invertebrates";32;"bipartite";"Forest";19,3145833571752;23,2591988312892;15,9363415365254;105,100674914999;19,316250038147;8,54333348274231;47,6350625991821;353,261711120606;28,4299997329712;10,4949999809265;17,9349997520447;23,5458332061768;20,7791667938232;23,5458332061768;14,9741666793823;1518;142,55;98;9,87607517242432;401,75;345,9;401,75;391,75;33,3575946220552;33,3575946220552;0,35939764421413
"AI22_533";"AI22_533";"AI22_533";"AI22";2016;-22,424;-47,338;"pollination";"Invertebrates";"Invertebrates";22;"bipartite";"Wetland";20,2439165321986;25,5831476755632;15,6669330854905;90,2102664862168;20,2436248397827;11,568917427063;63,9166667938232;244,648598175049;27,6900007247925;9,59000034332277;18,1000003814697;22,6983337402344;16,9528338623047;22,6983337402344;16,9528338623047;1291,66;241,63;21;73,1507083892823;650,23;83,7299999999999;644,46000000001;83,7299999999999;8,11116381150354;18,1681629864711;0,418330013267038
"AI22_795";"AI22_795";"Nery_2018";"AI22";2015;-23,187;-46,526;"pollination";"Invertebrates";"Invertebrates";27;"bipartite";"Forest";16,2218331996598;20,7722178333843;12,3370036510756;102,355403645609;16,2308750438689;9,84108299255371;58,5089625930785;239,037653045655;23,7369995689391;6,91699998378736;16,8199995040894;18,9440001678465;13,1839999008177;19,0094993591307;13,1839999008177;1486,00000000002;261,160000000003;30,3700000000008;64,1725989913938;700,380000000006;122,070000000003;641,090000000005;122,070000000003;7,16521025507103;14,0998701736104;0,37573457465109
"AI22_362";"AI22_362";"AI22_362";"AI22";2015;-20,746;-47,541;"pollination";"Invertebrates";"Invertebrates";33;"bipartite";"Savanna";21,3262500921885;26,3185577844962;17,03962908909;105,168962464385;21,321875;10,82541680336;63,9987659454346;197,898233032227;28,2300005912781;11,3150001049042;16,9150012969971;23,0283334732055;18,6116671562195;23,0924998283386;18,4833338737488;1512,85;281,15;14,2000000000002;78,2509399414062;765,5;56,4000000000003;703,35;85,9000000000003;9,12128750041583;17,3278226288239;0,339233496399405
"AI22_893";"AI22_893";"Sazatornil_2016";"AI22";2011;-23,351;-45,136;"pollination";"Invertebrates";"Invertebrates";120;"bipartite";"Anthropic habitats";17,0095834334692;21,6753525043145;13,0157097721711;122,686709713997;17,0127080917359;10,1029166698456;56,0188121795655;252,514562988281;25,25;7,21500003337863;18,0350001335144;19,9516664505005;13,8241664886475;20,0683332443238;13,8241664886475;1788,6;279,699999999999;43;59,7233921051026;802,699999999999;162,85;769,049999999999;162,85;11,9805370418289;12,6822608299337;0,271569512280005
"AI22_143";"AI22_143";"Moreira_2015";"AI22";2011;-13,468;-41,361;"pollination";"Invertebrates";"Invertebrates";28;"bipartite";"Grassland";19,3232500076295;24,772711489751;14,6299972352354;72,3963972488406;19,3102503395082;11,8331663513184;73,5437404632567;132,91018447876;26,7430003547671;10,6530002975466;16,0899997997284;20,2833332633974;17,9211664009096;20,4149998283388;17,3305009841921;1027,21999999999;147,799999999999;36,0699999999997;44,3378955078124;395,679999999995;128,989999999999;332,109999999998;156,059999999999;3,50773037760596;4,50773042541159;0,387298334620742
"AI22_126";"AI22_126";"Moreira_2015";"AI22";2011;-13,393;-41,38;"pollination";"Invertebrates";"Invertebrates";32;"bipartite";"Anthropic habitats";19,1125833368302;24,6201987710366;14,4066272566345;73,2239606242996;19,1212493896485;11,9158337593079;73,3871823883057;131,769607696534;26,6970001792908;10,4599998474121;16,2370003318787;20,0941663742066;17,7820005989075;20,1775003433228;17,1591660308838;1040,21999999999;148;36;44,2505136871345;402,4;128,559999999998;336,599999999999;156,759999999996;3,98034570515216;4,98034570515216;0,37101458443348
"AI22_133";"AI22_133";"Moreira_2015";"AI22";2011;-13,3;-41,432;"pollination";"Invertebrates";"Invertebrates";30;"bipartite";"Anthropic habitats";19,3737498760222;24,9583655394039;14,5787227054218;68,1140558747243;19,3689582824706;12,1095831871032;73,3470241546632;127,341733551024;27,1250002861021;10,6150003433226;16,509999847412;20,2741665840148;18,1091671943663;20,3750002861022;17,4741672515868;962,800000000016;145,4;30,3000000000013;51,0966762542714;395,000000000004;104,950000000004;345,299999999975;120,700000000006;6,35586632024606;8,18440220064244;0,38959686123699
"AI22_99";"AI22_99";"Moreira_2015";"AI22";2011;-13,275;-41,404;"pollination";"Invertebrates";"Invertebrates";37;"bipartite";"Anthropic habitats";19,782916601499;25,3933012564978;14,9604441517876;66,0624441339852;19,7749996185304;12,1716663837433;73,5679222106939;129,904914855957;27,540000152588;10,9949999809267;16,5450001716613;20,7166661262513;18,4658328056337;20,8083332061769;17,8491660118104;930,799999999993;144,1;26,6999999999987;52,9720937728888;386,199999999998;95,4999999999972;320,349999999992;110,149999999998;3,3399971324082;9,05333981481245;0,365148371670111
"AI22_97";"AI22_97";"Moreira_2015";"AI22";2011;-13,262;-41,446;"pollination";"Invertebrates";"Invertebrates";24;"bipartite";"Anthropic habitats";19,8574999729792;25,5140385401555;15,0072528374501;63,6719194233723;19,8564582824707;12,2579165458679;73,3351627349853;128,723975372314;27,7299996376038;11,0150000572205;16,7149995803833;20,779167175293;18,5925007820129;20,878333568573;17,9425002098084;894,699999999999;142,85;21,3499999999999;56,8793228149415;383,2;82,6999999999999;348,05;94,3999999999997;7,07906837004342;8,04786546502343;0,343592135468138
"AI22_93";"AI22_93";"Moreira_2015";"AI22";2011;-13,208;-41,359;"pollination";"Invertebrates";"Invertebrates";41;"bipartite";"Anthropic habitats";19,507083360354;24,8692371340285;14,9060228653442;66,6621562239828;19,5042081832885;11,6237497329711;73,7078063201902;130,003510589601;26,8909995841978;11,1210002613067;15,7699993228912;20,4616668510436;18,1606674575804;20,5531662559508;17,5656669998168;940,650000000015;144,6;27,3000000000022;52,0383257293684;385,99;99,9700000000053;319,020000000001;115,550000000007;2,25009366357859;2,25009366357859;0,328165061656947
"AI22_83";"AI22_83";"Moreira_2015";"AI22";2011;-13,17;-41,445;"pollination";"Invertebrates";"Invertebrates";33;"bipartite";"Savanna";19,9665833218892;25,5981217863621;15,1429075529637;63,3071741774143;19,9685416412354;12,1977498435974;73,8054974365234;128,367708816528;27,7769997215271;11,2500001907349;16,5270001029968;20,9134990310669;18,695666923523;20,9968330001831;18,064000492096;888,9;144,9;19,5;59,5934178543091;386,7;76,3999999999998;349,7;85,3599999999998;2,40889989384246;9,40889995917692;0,3787852437326
