"null_model";"network_id";"network_interaction";"network_topology_type";"metric";"value";"z_score_full"
"connectance";"AI22_1068";"pollination";"bipartite";"richness";67;0
"degdist_hard";"AI22_1068";"pollination";"bipartite";"richness";67;0
"degdist_soft";"AI22_1068";"pollination";"bipartite";"richness";67;0
"connectance";"AI22_1068";"pollination";"bipartite";"connectance";0,171428571428571;0
"degdist_hard";"AI22_1068";"pollination";"bipartite";"connectance";0,171428571428571;0
"degdist_soft";"AI22_1068";"pollination";"bipartite";"connectance";0,171428571428571;-0,0401397067411464
"connectance";"AI22_1068";"pollination";"bipartite";"degree.shannon";3,9134632490961;-12,4062000318223
"degdist_hard";"AI22_1068";"pollination";"bipartite";"degree.shannon";3,9134632490961;0
"degdist_soft";"AI22_1068";"pollination";"bipartite";"degree.shannon";3,9134632490961;2,90597342877796
"connectance";"AI22_1068";"pollination";"bipartite";"degree.mean";4,83582089552239;0
"degdist_hard";"AI22_1068";"pollination";"bipartite";"degree.mean";4,83582089552239;0
"degdist_soft";"AI22_1068";"pollination";"bipartite";"degree.mean";4,83582089552239;-0,0401397067411026
"connectance";"AI22_1068";"pollination";"bipartite";"degree.sd";3,76425377902315;8,67637901604133
"degdist_hard";"AI22_1068";"pollination";"bipartite";"degree.sd";3,76425377902315;0
"degdist_soft";"AI22_1068";"pollination";"bipartite";"degree.sd";3,76425377902315;-1,64452025050679
"connectance";"AI22_1068";"pollination";"bipartite";"degree.skewness";0,915275116185654;0,000950657508700885
"degdist_hard";"AI22_1068";"pollination";"bipartite";"degree.skewness";0,915275116185654;0
"degdist_soft";"AI22_1068";"pollination";"bipartite";"degree.skewness";0,915275116185654;-0,147425701846121
"connectance";"AI22_1068";"pollination";"bipartite";"degree.kurtosis";3,21796181375478;-0,253428752132642
"degdist_hard";"AI22_1068";"pollination";"bipartite";"degree.kurtosis";3,21796181375478;0
"degdist_soft";"AI22_1068";"pollination";"bipartite";"degree.kurtosis";3,21796181375478;-0,210174718973698
"connectance";"AI22_1068";"pollination";"bipartite";"modularity.betweenness";0,20033150434385;-6,40422714095599
"degdist_hard";"AI22_1068";"pollination";"bipartite";"modularity.betweenness";0,20033150434385;-0,195822389214837
"degdist_soft";"AI22_1068";"pollination";"bipartite";"modularity.betweenness";0,20033150434385;1,15947946258797
"connectance";"AI22_1068";"pollination";"bipartite";"modularity.infomap";0,298811156835848;1,33900523736461
"degdist_hard";"AI22_1068";"pollination";"bipartite";"modularity.infomap";0,298811156835848;2,08214538834508
"degdist_soft";"AI22_1068";"pollination";"bipartite";"modularity.infomap";0,298811156835848;6,60717882425674
"connectance";"AI22_1068";"pollination";"bipartite";"nestedness";19,1896082498492;7,94544100535609
"degdist_hard";"AI22_1068";"pollination";"bipartite";"nestedness";19,1896082498492;-1,5339119406233
"degdist_soft";"AI22_1068";"pollination";"bipartite";"nestedness";19,1896082498492;0,536453233688358
"connectance";"AI22_1068";"pollination";"bipartite";"centrality.degree";0,174358974358974;2,61370512062825
"degdist_hard";"AI22_1068";"pollination";"bipartite";"centrality.degree";0,174358974358974;0
"degdist_soft";"AI22_1068";"pollination";"bipartite";"centrality.degree";0,174358974358974;-0,579620506385117
"connectance";"AI22_1068";"pollination";"bipartite";"centrality.eigen";0,460724030082025;7,77797806172593
"degdist_hard";"AI22_1068";"pollination";"bipartite";"centrality.eigen";0,460724030082025;0,966284534871989
"degdist_soft";"AI22_1068";"pollination";"bipartite";"centrality.eigen";0,460724030082025;0,0467204316574479
"connectance";"AI22_1068";"pollination";"bipartite";"interaction.overlap";0,298594073078704;16,1818026722986
"degdist_hard";"AI22_1068";"pollination";"bipartite";"interaction.overlap";0,298594073078704;-0,216714084827455
"degdist_soft";"AI22_1068";"pollination";"bipartite";"interaction.overlap";0,298594073078704;-0,911938751890276
"connectance";"AI22_1068";"pollination";"bipartite";"link.density";4,83582089552239;0
"degdist_hard";"AI22_1068";"pollination";"bipartite";"link.density";4,83582089552239;0
"degdist_soft";"AI22_1068";"pollination";"bipartite";"link.density";4,83582089552239;-0,0401397067411026
"connectance";"AI22_1072";"pollination";"bipartite";"richness";25;0
"degdist_hard";"AI22_1072";"pollination";"bipartite";"richness";25;0
