"Ref_paper","webcode","Latitude_dec","Longitude_dec","Name_paper"
"S19","poll1",-33.28,-70.27,"arroyo1982_1"
"S26","poll10",-36.42,148.33,"inouye1988"
"S103","poll100",27.129525,-81.36931775,"Carman et al 2016"
"S103","poll101",27.149272475,-81.364003325,"Carman et al 2016"
"S104","poll102",-12.333864,-38.852288,"Carvalho et al 2014"
"S105","poll103",48.777,-123.941,"Chamberlain et al. 2014"
"S105","poll104",48.777,-123.941,"Chamberlain et al. 2014"
"S105","poll105",48.819,-124.134,"Chamberlain et al. 2014"
"S105","poll106",48.819,-124.134,"Chamberlain et al. 2014"
"S105","poll107",48.808,-123.631,"Chamberlain et al. 2014"
"S105","poll108",48.808,-123.631,"Chamberlain et al. 2014"
"S105","poll109",48.817,-124.117,"Chamberlain et al. 2014"
"S27","poll11",35.34,134.76,"kato1990"
"S105","poll110",48.817,-124.117,"Chamberlain et al. 2014"
"S105","poll111",48.791,-123.638,"Chamberlain et al. 2014"
"S105","poll112",48.791,-123.638,"Chamberlain et al. 2014"
"S105","poll113",48.782,-123.885,"Chamberlain et al. 2014"
"S105","poll114",48.782,-123.885,"Chamberlain et al. 2014"
"S106","poll115",49.087,-119.518,"Chamberlain et al. 2014"
"S106","poll116",49.091,-119.527,"Chamberlain et al. 2014"
"S106","poll117",49.262,-119.509,"Chamberlain et al. 2014"
"S106","poll118",49.184,-119.586,"Chamberlain et al. 2014"
"S106","poll119",49.303,-119.63,"Chamberlain et al. 2014"
"S28","poll12",81.82,-71.3,"kevan1970"
"S106","poll120",49.312,-119.68,"Chamberlain et al. 2014"
"S106","poll121",49.015,-119.588,"Chamberlain et al. 2014"
"S106","poll122",49.011,-119.621,"Chamberlain et al. 2014"
"S107","poll123",51.296,-114.569,"Chamberlain et al. 2014"
"S107","poll124",51.273,-114.627,"Chamberlain et al. 2014"
"S107","poll125",51.154,-114.59,"Chamberlain et al. 2014"
"S107","poll126",50.385,-114.373,"Chamberlain et al. 2014"
